theory_result_id,mechanism,required_parameters,parameters_to_hold_fixed,treatment_parameter,outcome_metrics,necessary_controls,required_copula_family,expected_pattern,falsification_pattern,convergence_requirement,evidence_status,notes
S2-P01,Allocation identified-set contraction,"score order; primitive classes; selection classes; tau_x","teacher model architecture; score order",information restriction added to primitive or selection class,"coordinate ranges; pairwise gap ranges; set diameter; singleton indicator","enumerate admissible classes; optimal-face audit",NONE,"identified set weakly shrinks as valid restrictions accumulate","a purportedly nested restricted class produces an allocation outside the broader set","exact finite enumeration or certified optimization bounds",SYNTHETIC_THEORY_TEST_ONLY,"Logical set-inclusion test; no crop calibration"
S2-P02,Risk-feasible exchange rank preservation,"mu_i-mu_j; X; alpha; kappa; scenarios; tau_x","rank; all non-treatment primitives",exchange availability or constraint blocking,"finite-step feasibility; objective gain; selected/possible/universal reversal","direct CVaR evaluation; tangent and face checks",NONE,"covered reversed points are nonoptimal when exchange is feasible","an exchange-certified reversed allocation is optimal or the finite step violates a hidden constraint","exact finite case then stable numerical tolerance",SYNTHETIC_THEORY_TEST_ONLY,"Zero directional derivative is not a certificate"
S2-C01,Restricted winner-take-all preservation,"A; mu; score order; risk redundancy","simplex geometry",drop one sufficient assumption at a time,"allocation; objective; land use; top-rank reversal","analytic solution and LP oracle",NONE,"all land goes to unique positive top margin only in the restricted anchor","anchor assumptions hold but another allocation is optimal","exact analytic equality within solver tolerance",SYNTHETIC_THEORY_TEST_ONLY,"Dropped-assumption cases are boundaries not theorem failures"
S2-H01,Cardinal margin channel,"fixed score order; margin-gap grid; X; scenarios; selection","rank; feasibility; risk; dependence; seeds",mu_i-mu_j,"selected acreage; optimal-face gaps; objective; reversal class","equal; near-tie; strict-gap; dominance anchors; common scenarios",NONE,"responses may be flat; discontinuous; monotone or nonmonotone","design changes rank or another primitive; nulls are not falsification","prospective grid and face-stability audit",PREREGISTERED_NUMERICAL_HYPOTHESIS,"Do not tune gaps to produce reversal"
S2-T01,KKT local pressure identity,"mu; d; lambda; beta; c; G; eta; lower and upper duals","selected primal solution and sign convention",cases activating each constraint family,"M_ij; R_ij; B_ij; O_ij; Q_ij; residual; slacks; complementarity","independent tail-weight reconstruction; all row names and units",NONE,"raw terms reconstruct margin pressure within tolerance","missing dual; wrong sign/unit; residual above tolerance","exact finite LP residual at frozen KKT tolerance",SYNTHETIC_THEORY_TEST_ONLY,"Terms are currency/acre pressures not acres"
S2-P03,Operational forcing pressure and selection,"land; budget; rotation; contract; crop bounds; tau_x","margins; scenarios; risk settings; selection",one-at-a-time tightness then frozen factorial,"feasible coordinate ranges; dual pressures; face ranges; reversal class","phase-I feasibility; active-set and coefficient-difference audits",NONE,"direct forcing; marginal pressure and boundary selection are separately classified","binding frequency is the only evidence or categories cannot be reconstructed","exact forcing LP plus replicated dual/face diagnostics",PREREGISTERED_CONFIRMATORY,"Every constraint receives observed/proxy/unavailable provenance later"
S2-P04,Risk-limit contraction,"alpha; kappa grid; X; profit law","margins; dependence; operations; selection",kappa,"feasible-set inclusion; value; allocation; face range; risk dual","slack; just-binding; strongly binding; infeasible anchors",NONE,"feasible sets and values are ordered; crop acreage need not be","set/value nesting fails beyond tolerance","adaptive kappa grid; exact feasibility checks; registered stopping",PREREGISTERED_CONFIRMATORY,"Retain unchanged and nonmonotone acreage cases"
S2-P05,Counterfactual block attribution,"all M0-M4 inputs; fallback primitives; selection; subset lattice","exogenous inputs and evaluation law",block inclusion and order,"path increments; Shapley acreage/profit/CVaR vectors; efficiency residual; face sensitivity","all 16 subsets and 24 orders when feasible; same selection",NAMED_AS_DESIGN_REQUIRES,"selected Shapley vectors sum to full-minus-baseline; path effects can vary by order","efficiency fails or fallback/selection changes across subsets","exact combinatorial efficiency plus independent replay",SYNTHETIC_ACCOUNTING_THEN_CONFIRMATORY,"Undefined when preregistered common feasibility domain fails"
S2-P06,Ordered-loss feasible-set contraction,"fixed marginals; named family; theta; X; alpha; kappa","marginals; margins; operations; random streams",verified dependence-order parameter,"CVaR by allocation; set inclusion; optimal value","loss-order diagnostic over declared domain; simultaneous uncertainty",NAMED_PROVED_FAMILY_ONLY,"higher ordered loss risk weakly contracts feasibility and value","ordering premise fails or lower-risk allocation has larger certified CVaR contrary to stated direction","uniform domain/grid check with Monte Carlo error control",CONDITIONAL_THEORY_TEST,"No crop-coordinate implication"
S2-H02,Dependence allocation response,"fixed marginals; named family; theta grid; selection","margins; X; alpha; kappa; common random numbers",within-family dependence parameter,"selected and face-aware acreage; active basis; crossing set; CVaR; value","cross-family matched-rank sensitivity stored separately",EACH_NAMED_VALID_FAMILY,"any allocation response is parameter/family specific and may be null or nonmonotone","a universal scalar-tail claim is made from the design","adaptive grid; independent seeds; crossing-topology stability",PREREGISTERED_NUMERICAL_HYPOTHESIS,"Cross-family raw parameter comparisons prohibited"
S2-P07,Diversification non-equivalence,"comparator policies; P; Q; alpha; kappa; concentration metric","margins; action set; evaluation draws",policy or dependence assumption,"HHI; variance; true-law CVaR; violation; feasible regret; inclusion","safe/risky; comoving; tail-misspecified counterexamples",NAMED_AS_DESIGN_REQUIRES,"metrics can disagree and are always reported separately","one metric is treated as logically sufficient for another","exact counterexamples plus simultaneous metric uncertainty",SYNTHETIC_BOUNDARY_THEN_CONFIRMATORY,"Crop count alone is insufficient"
S2-P08,True-law regret and risk violation,"true law P; assumed law Q; x_Q; x_P_star; alpha; kappa","margins; X; evaluation draws",assumed dependence law,"true-law violation; feasible regret; expected profit; CVaR","paired true-law evaluation and solver optimality certificate",TRUE_AND_ASSUMED_NAMED_FAMILIES,"regret is nonnegative only when x_Q is true-law feasible; violation is separate","negative feasible regret or infeasible policy reported only as regret","independent true-law evaluation and optimality replay",PREREGISTERED_CONFIRMATORY,"No arbitrary infeasibility penalty"
S2-T02,Information actionability and garbling order,"prior; experiments; garbling matrix; policy space; X(phi); alpha; kappa","outcome law; risk convention; decision timing",signal informativeness and nested action set,"I; U; VOI; policy actions; actionability; risk feasibility","uninformative; perfect; garbled; common-policy anchors",ANY_REGISTERED_SIGNAL_LAW,"VOI nonnegative; more informative experiment weakly raises I; common policy gives zero","negative VOI with policy inclusion or garbling reproduction fails","exact finite-state calculation then independent stochastic replay",SYNTHETIC_THEORY_TEST_ONLY,"Precision labels without garbling are unordered"
S2-T03,Conditional information-flexibility complementarity,"Q and Phi lattices; policy lattice; strong-set-order Gamma; supermodular W","prior value independent of q; decision timing",precision by flexibility,"four-point cross-differences; policy monotonicity; VOI; strictness","two-crop scalar-share restricted case; meet/join closure tests",ANY_REGISTERED_SIGNAL_LAW,"cross-differences are nonnegative only after every structural premise passes","negative cross-difference under verified premises or any hidden lattice failure","exact finite lattice check or simultaneous interval over all preregistered contrasts",CONDITIONAL_THEORY_TEST,"Full multi-crop simplex is not automatically eligible"
S2-B01,Complementarity boundary,"nested action sets; payoff matrices; signals","same timing and risk convention",add dominated or common robust action,"VOI level and interaction contrast","zero-interaction and substitution witnesses",NONE,"nested flexibility can yield zero or negative VOI interaction","strict complementarity asserted from nesting alone","exact finite-state witnesses",SYNTHETIC_BOUNDARY_ONLY,"Null/substitution cases must remain in GOAL-12"
