asset_id,relative_path,asset_name,asset_type,scientific_role,classification,source_workspace_path,source_git_branch,source_git_commit,generating_script,generation_command,config_file,input_assets,output_assets,random_seed,data_source,license_or_access_condition,dimensions_or_row_count,checksum_sha256,last_verified_date,verification_method,associated_claim_ids,associated_table_ids,associated_figure_ids,limitations,migration_decision
A0001,CLAIM_EVIDENCE_MAP.csv,CLAIM_EVIDENCE_MAP.csv,csv,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/CLAIM_EVIDENCE_MAP.csv,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,4,47b4e8d46b04ebc864d85ba40e22cf13c0dbdb9e9e067d91da656ed2b543b1ed,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0002,EXCLUDED_ASSETS_REPORT.md,EXCLUDED_ASSETS_REPORT.md,md,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/EXCLUDED_ASSETS_REPORT.md,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,11,87c419df8e1682b28e9f5e367e095da7ae81b3c2972fe83017631e820fcecfb5,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0003,KNOWN_LIMITATIONS.md,KNOWN_LIMITATIONS.md,md,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/KNOWN_LIMITATIONS.md,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,8,8dfee753ff23fa9f0ee3616b61cd65da3804504da5c49498cff8d30d70dcdec5,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0004,LICENSE_AND_DATA_ACCESS.md,LICENSE_AND_DATA_ACCESS.md,md,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/LICENSE_AND_DATA_ACCESS.md,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,3,c7c2e571b688d4473f3c215c185b8a3950e72e5a99e4d63f81503d8c9dbc5d90,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0005,README_MIGRATION.md,README_MIGRATION.md,md,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/README_MIGRATION.md,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,9,10b464430bf89b52134a36f37470ab206a7134538fe8e92d2d70a5e17b7e9cf9,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0006,REPRODUCIBILITY_STATUS.csv,REPRODUCIBILITY_STATUS.csv,csv,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/REPRODUCIBILITY_STATUS.csv,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,6,10d798526f1a4773716c3e12eca14c21fcb4d8dfd2252a7dbf0b4d7ce5250435,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0007,REPRODUCTION_GUIDE.md,REPRODUCTION_GUIDE.md,md,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/REPRODUCTION_GUIDE.md,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,13,174f0909c5bdb87dcf25a8f25d24e03ae51eaa7b4d71968a5992dbc6e3c93267,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0008,SOURCE_SNAPSHOT.md,SOURCE_SNAPSHOT.md,md,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/SOURCE_SNAPSHOT.md,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,14,970b00ed16e2853db7b11fea196544e17c49566e786810da6b77fe16184ae877,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0009,code/tests/__pycache__/conftest.cpython-311-pytest-8.4.2.pyc,conftest.cpython-311-pytest-8.4.2.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/__pycache__/conftest.cpython-311-pytest-8.4.2.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,2698 bytes,c3844f79c73ce2f31c4a1c65d43e20cfa0c84ef1b93f1766834a8d3a065d0d34,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0010,code/tests/__pycache__/test_cvar.cpython-311-pytest-8.4.2.pyc,test_cvar.cpython-311-pytest-8.4.2.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/__pycache__/test_cvar.cpython-311-pytest-8.4.2.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,10356 bytes,5d7e790841b6fccec31b5132cf0cc1b3af149edc184c202150862497d43e6928,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0011,code/tests/__pycache__/test_empirical_pipeline.cpython-311-pytest-8.4.2.pyc,test_empirical_pipeline.cpython-311-pytest-8.4.2.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/__pycache__/test_empirical_pipeline.cpython-311-pytest-8.4.2.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,28151 bytes,fb29a5c3d27ccd8e7e4d48b33fed363ae3fb1c9063c4d7b5a9a6707442fc043d,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0012,code/tests/__pycache__/test_optimizer_feasibility.cpython-311-pytest-8.4.2.pyc,test_optimizer_feasibility.cpython-311-pytest-8.4.2.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/__pycache__/test_optimizer_feasibility.cpython-311-pytest-8.4.2.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,15126 bytes,d93ddfa75cb81980515c17efd3d8fd5e55eb87e816ed0717b843b904ec78dad5,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
