result_id,result_type,title,evidence_class,assumption_ids,claim_summary,proof_location,mechanism_interpretation,simulation_link,empirical_link,status
S2-D01,DEFINITION,Allocation identified set,PROVED,S2-A01;S2-A02;S2-A03;S2-A04,"The union of selected optimal allocations over an explicit admissible primitive and selection class is the information content of a ranking",canonical_theory_extension.md §2,"Separates ordinal information from cardinal margins, feasible actions, risk law and selection",E1,"Score order and acreage order are descriptive observables only",ACCEPTED
S2-P01,PROPOSITION,Identified-set contraction,PROVED,S2-A02,"Restricting the admissible primitive or selection class can only shrink the allocation identified set; point identification is singleton collapse",proofs.md S2-P01,"States what additional information can identify",E1,"Empirical conditioning can narrow but not prove optimality",ACCEPTED
S2-P02,PROPOSITION,Risk-feasible exchange rank-preservation certificate,PROVED_CONDITIONAL,S2-A04;S2-A05;S2-A06;S2-A07,"No reversed point is optimal when every reversal admits a feasible risk-feasible transfer toward the higher-ranked higher-margin crop",proofs.md S2-P02,"Positive sufficient condition for no reversal",E1;E2;E3,"Only observable exchange restrictions may receive empirical analogues",ACCEPTED
S2-C01,COROLLARY,Restricted winner-take-all top-rank preservation,PROVED_CONDITIONAL,S2-A05;S2-A08,"With only the land simplex, redundant risk and a unique positive top margin, all land goes to the top-ranked crop",proofs.md S2-C01,"Clean positive anchor; not a full pairwise acreage ranking",E1,"Not a claim about farms with unobserved constraints",ACCEPTED
S2-H01,NUMERICAL_HYPOTHESIS,Cardinal margin-gap allocation response,NUMERICAL_HYPOTHESIS,S2-A03;S2-A05;S2-A13,"Holding rank and all other primitives fixed, changing cardinal margin gaps may change selected acreage and optimal-face ranges, with null/nonmonotone responses retained",canonical_theory_extension.md §3,"Isolates the margin channel without asserting global monotonicity",E1,"Continuous pre-decision margin gaps may be tested associationally",PREREGISTER_FOR_GOAL12
S2-T01,THEOREM,Complete pairwise KKT pressure identity,PROVED,S2-A10;S2-A11;S2-A12,"Margin pressure equals tail-risk, budget, shared-operational and boundary pressure plus a zero numerical residual; the land pressure cancels pairwise",proofs.md S2-T01,"Local optimality accounting, not acreage causality",E2;E3,"Dual terms are model-derived and not observed preferences",ACCEPTED
S2-P03,PROPOSITION,Operational mechanism trichotomy,PROVED_CONDITIONAL,S2-A02;S2-A04;S2-A10,"Operational restrictions affect reversal through direct feasible-set forcing, marginal dual pressure, or boundary/selection effects; categories can coexist",proofs.md S2-P03,"Prevents binding frequency from being called causal attribution",E2,"Observed/proxy/unavailable constraint status is mandatory",ACCEPTED
S2-P04,PROPOSITION,Risk-limit feasible-set contraction,PROVED,S2-A09,"Tightening kappa nests risk-feasible sets and weakly lowers the optimal value; no crop-specific acreage monotonicity follows",proofs.md S2-P04,"Exact downside-risk boundary",E3,"A farmer risk limit remains latent without external identification",ACCEPTED
S2-P05,PROPOSITION,Selected counterfactual and Shapley efficiency,PROVED_CONDITIONAL,S2-A03;S2-A13;S2-A14,"Path increments telescope and all-subset Shapley allocations sum exactly to the selected full-minus-baseline change",proofs.md S2-P05,"Acreage attribution is selection- and order-aware",E1;E2;E3;E4,"No direct transfer to observed acreage causality",ACCEPTED
S2-P06,PROPOSITION,Ordered-loss risk contraction,PROVED_CONDITIONAL,S2-A09;S2-A15,"Pointwise CVaR ordering under a proved fixed-marginal named-family loss order nests feasible sets and weakly lowers value",proofs.md S2-P06,"Dependence can alter risk opportunity sets, not necessarily a coordinate",E4,"Scalar tail estimates do not identify the order",ACCEPTED
