gap_id,research_question,stage_i_anchor,stage_i_status,stage_ii_target,allowed_result_class,simulation_requirement,empirical_requirement,owner_issue,acceptance_gate,manuscript_destination,priority
T01,"When can a ranking predict allocation?","CT2 ordinal insufficiency; CT3 forced reversal","Boundary proved; positive rank-preservation conditions absent","Define the allocation identified set over admissible cardinalizations, feasible sets and selection rules; prove sufficient restricted conditions for rank preservation or set collapse","PROVED or PROVED_CONDITIONAL","Construct rank-equivalent score transformations and controlled feasible-set cases; recover the proved boundary and positive cases","Test whether pre-decision score order and acreage-share order co-move under explicitly observable conditions without claiming optimality",24,"All objects and assumptions are explicit; theorem proof is complete; counterexamples show each dropped assumption matters","Conceptual framework; Ranking reversal mechanisms",P0
T02,"How do cardinal profit margins alter allocation?","Expected-profit objective and ranking-proportional benchmark","Defined but not isolated","Formalize a margin channel that distinguishes ordinal rank from cardinal distance and states its interaction with selection and constraints","PROVED_CONDITIONAL or NUMERICAL_HYPOTHESIS","M0 ranking to M1 expected-profit experiment varies only margin scale/gap with common scenarios","Build geography-time-aligned pre-decision margin ranks and continuous margin gaps",24,"No units mismatch; fixed-rank transformations and cardinal gaps have separate claims","Ranking reversal mechanisms; Numerical experiments",P0
T03,"Which local optimality pressures support a reversal?","CT5 full KKT pairwise equation","Complete stationarity but no quantitative scientific decomposition","Define margin, tail-risk, budget, shared-constraint and bound pressure terms with signs and units; label them local optimality pressures","PROVED","Report every term and residual at controlled solutions; no omitted multiplier","Only mechanisms with observed inputs may receive an empirical analogue",24,"Terms exactly reconstruct stationarity within tolerance; text never calls them additive acreage causes","Stochastic optimization model; Ranking reversal mechanisms",P0
T04,"How can acreage changes be attributed across model blocks?","CT6 feasible displacement; optimal-face audit","Selection-aware diagnostics exist; attribution absent","Define nested counterfactual attribution M0--M4 with a declared deterministic selection and optimal-face attribution intervals; document order dependence or use a justified symmetric rule","PROVED_CONDITIONAL plus NUMERICAL_HYPOTHESIS","Compute block additions and permutation/order sensitivity for acreage, profit and CVaR","Do not transfer simulation attribution labels to observed acreage without identified inputs","24;22","Attribution sums to the total selected-model change; face and order uncertainty are reported","Ranking reversal mechanisms; Numerical experiments",P0
T05,"When do operational constraints force or reshape reversal?","CT3 feasibility-forced reversal; CT5 duals","Extreme sufficient result proved; general quantitative effect absent","Classify direct forcing, marginal pressure and boundary-selection effects for land, budget, rotation, contracts and bounds","PROVED and PROVED_CONDITIONAL","One-at-a-time tightness sweeps plus interaction experiments; record slacks, duals, active sets and face ranges","Operational variables are tagged observed, proxy or unavailable; transitions may test inertia/rotation predictions","24;22","Each constraint has a proposition or explicit hypothesis and a falsification test","Ranking reversal mechanisms; Empirical validation",P0
T06,"How does downside risk change allocation?","CT4 risk-slack invariance; loss-CVaR programme","Slack boundary proved; controlled binding effect absent","State the exact no-effect condition and conditional properties of the risk-feasible-set contraction; avoid crop-specific monotonicity without proof","PROVED and PROVED_CONDITIONAL","M2 versus M3 comparisons vary alpha and kappa with all other inputs fixed; report allocation, expected profit, CVaR and risk dual","Aggregate data may test downside-exposure associations but cannot reveal a farmer CVaR limit","24;22","Slack cases show zero set/value effect as defined; binding cases are reported with nonmonotone/null outcomes retained","Stochastic optimization model; Numerical experiments",P0
T07,"How does dependence affect downside risk and allocation?","CT7 restricted dependence ordering","Correct restricted boundary; required order not established for the intended families","Prove any within-family loss-order result actually used; otherwise declare family-specific allocation response a numerical hypothesis","PROVED_CONDITIONAL or NUMERICAL_HYPOTHESIS","Fixed marginals, constraints and random streams; dense within-family dependence sweeps; cross-family results labelled sensitivity","Estimate dependence only from synchronized outcomes with uncertainty; no scalar coefficient is treated as causal","24;22","Every theorem names domain, family, marginals, order and optimizer assumptions","Ranking reversal mechanisms; Numerical experiments",P0
T08,"When do reversal regimes or crossing sets occur?","CT8 crossing-set theorem","Set logic proved; Stage I LHS crossings confounded","Specify continuity/selection assumptions for any point crossing; otherwise retain no, interval and multiple crossings as primary outcomes","PROVED_CONDITIONAL plus NUMERICAL_HYPOTHESIS","Adaptive fixed-factor grids with active-basis/face tracking and independent replication","No empirical threshold claim without a pre-specified estimand and sufficient time support","24;22","Algorithm recovers synthetic known crossings and reports topology plus uncertainty","Ranking reversal mechanisms; Numerical experiments",P1
T09,"When does diversification fail?","CT9 descriptive pseudo-diversification","Definition bounded; positive mechanism absent","Separate variance diversification, tail diversification, allocation concentration, pseudo-diversification and true-law decision regret","DEFINITION plus PROVED_CONDITIONAL","Risk-return frontiers under true and misspecified dependence; leave-one-crop and marginal tail-contribution checks","Observed diversification claims require synchronized profit outcomes and cannot imply welfare without a decision model","24;22","Each construct has a unit, comparator, direction and non-equivalence counterexample","Ranking reversal mechanisms; Numerical experiments",P0
T10,"When does information create value under flexibility?","CT10 actionability and weak flexibility monotonicity","General safe result proved; strict complementarity absent","Give sufficient increasing-differences/lattice or problem-specific conditions for complementarity; otherwise pre-register an interaction hypothesis and substitution counterexamples","PROVED_CONDITIONAL or NUMERICAL_HYPOTHESIS","Fully crossed signal precision by nested action-set design; report policies, VOI, interaction contrasts and zero/substitute cases","Use timestamped pre-decision information and observable flexibility only; causal language requires exogenous variation","24;22","Decision timing is coherent; ignore-signal policy feasible; complementarity and substitution outcomes are both allowed","Information and flexibility implications",P0
