record_id,included,citation_key,domain,peer_review_status,source_tier,full_text_status,metadata_status,directness,claim_ids,quality_grade,retraction_correction_status,exclusion_reason,limitations
LIT-THEORY-001,YES,rockafellar2000optimization,CVaR,PEER_REVIEWED,T1_PUBLISHER_OR_AUTHOR,FULL_VERIFIED,DOI_VERIFIED,DIRECT,"LIT-C04;LIT-C05",A,NO_ADVERSE_UPDATE,,Continuity simplifying assumptions in initial paper
LIT-THEORY-002,YES,rockafellar2002conditional,CVaR,PEER_REVIEWED,T1_PUBLISHER_OR_AUTHOR,FULL_VERIFIED,DOI_VERIFIED,DIRECT,"LIT-C04;LIT-C05",A,NO_ADVERSE_UPDATE,,No crop-specific model
LIT-THEORY-003,YES,ansari2024dependence,COPULA,PEER_REVIEWED,T1_PUBLISHER,FULL_VERIFIED,DOI_VERIFIED,DIRECT,LIT-C06,A,NO_ADVERSE_UPDATE,,Bivariate family results only
LIT-AGR-001,YES,filippi2017mixed,CROP_PLANNING,PEER_REVIEWED,T1_PUBLISHER,FULL_VERIFIED,DOI_VERIFIED,DIRECT,"LIT-C02;LIT-C05;LIT-C11",A,NO_ADVERSE_UPDATE,,Historical scenarios and no copula or ranking-reversal audit
LIT-AGR-002,YES,boyabatli2019crop,CROP_PLANNING,PEER_REVIEWED,T1_INSTITUTIONAL_REPOSITORY,FULL_VERIFIED,DOI_VERIFIED,DIRECT,"LIT-C02;LIT-C03;LIT-C11",A,NO_ADVERSE_UPDATE,,Two crops and dynamic rotation rather than CVaR
LIT-AGR-003,YES,benini2023crop,CROP_PLANNING,PEER_REVIEWED,T1_OPEN_PUBLISHER,FULL_VERIFIED,DOI_VERIFIED,DIRECT,"LIT-C02;LIT-C03;LIT-C11",A,NO_ADVERSE_UPDATE,,Expected-profit deterministic uncertainty treatment
LIT-AGR-004,YES,randall2022robust,CROP_PLANNING,PEER_REVIEWED,T1_OPEN_PUBLISHER,FULL_VERIFIED,DOI_VERIFIED,DIRECT,"LIT-C02;LIT-C11",A,NO_ADVERSE_UPDATE,,Robust evolutionary framework not loss-CVaR
LIT-AGR-005,YES,randall2024systematic,CROP_PLANNING_REVIEW,PEER_REVIEWED,T1_PUBLISHER,FULL_VERIFIED,DOI_VERIFIED,DIRECT,"LIT-C02;LIT-C11",A,NO_ADVERSE_UPDATE,,Review coverage cannot prove universal novelty
LIT-ML-001,YES,liakos2018machine,AGRICULTURAL_ML,PEER_REVIEWED,T1_OPEN_PUBLISHER,FULL_VERIFIED,DOI_VERIFIED,DIRECT,LIT-C01,A,NO_ADVERSE_UPDATE,,Broad review not a validation of a specific score
LIT-ML-002,YES,vanklompenburg2020crop,AGRICULTURAL_ML,PEER_REVIEWED,T1_PUBLISHER,FULL_VERIFIED,DOI_VERIFIED,DIRECT,LIT-C01,A,NO_ADVERSE_UPDATE,,Yield prediction not crop-allocation prescription
LIT-SP-001,YES,dantzig1955linear,STOCHASTIC_PROGRAMMING,PEER_REVIEWED,T1_AUTHOR_REPRINT,FULL_VERIFIED,DOI_VERIFIED,DIRECT,LIT-C03,A,NO_ADVERSE_UPDATE,,Foundational architecture only
LIT-COP-001,YES,demarta2005tcopula,COPULA,PEER_REVIEWED,T1_AUTHOR_MANUSCRIPT,FULL_VERIFIED,DOI_VERIFIED,DIRECT,LIT-C06,A,NO_ADVERSE_UPDATE,,Named t-related families do not order arbitrary copulas
LIT-PTO-001,YES,bertsimas2020predictive,PRESCRIPTIVE_ANALYTICS,PEER_REVIEWED,T1_AUTHOR_PREPRINT,FULL_VERIFIED,DOI_VERIFIED,DIRECT,"LIT-C07;LIT-C08",A,NO_ADVERSE_UPDATE,,General conditional prescription framework
LIT-PTO-002,YES,elmachtoub2022smart,PREDICT_THEN_OPTIMIZE,PEER_REVIEWED,T1_AUTHOR_PREPRINT,FULL_VERIFIED,DOI_VERIFIED,DIRECT,"LIT-C07;LIT-C08",A,NO_ADVERSE_UPDATE,,Decision-aware loss does not validate input distributions
LIT-PTO-003,YES,wilder2019melding,DECISION_FOCUSED_LEARNING,PEER_REVIEWED,T1_OPEN_PUBLISHER,FULL_VERIFIED,DOI_VERIFIED,DIRECT,"LIT-C07;LIT-C08",A,NO_ADVERSE_UPDATE,,Combinatorial applications outside agriculture
LIT-PTO-004,YES,mandi2023decision,DECISION_FOCUSED_LEARNING_REVIEW,PREPRINT,T1_ARXIV,FULL_VERIFIED,DOI_VERIFIED,DIRECT,"LIT-C07;LIT-C08",B,NO_ADVERSE_UPDATE,,Preprint status and broad benchmark scope
LIT-VOI-001,YES,keisler2004value,VALUE_OF_INFORMATION,PEER_REVIEWED,T1_INSTITUTIONAL_REPOSITORY,FULL_VERIFIED,DOI_VERIFIED,DIRECT,LIT-C09,A,NO_ADVERSE_UPDATE,,Project portfolios rather than crop acreage
LIT-VOI-002,YES,merkhofer1975value,VALUE_OF_INFORMATION,TECHNICAL_REPORT,T1_GOVERNMENT_REPOSITORY,FULL_VERIFIED,DOI_VERIFIED,DIRECT,"LIT-C09;LIT-C10",A,NO_ADVERSE_UPDATE,,Technical-report version and no general strict complementarity
LIT-FLEX-001,YES,vanmieghem1998investment,OPERATIONAL_FLEXIBILITY,PEER_REVIEWED,T1_AUTHOR_FULL_REPORT,FULL_VERIFIED,DOI_VERIFIED,DIRECT,LIT-C10,A,NO_ADVERSE_UPDATE,,Manufacturing capacity analogy
EXC-001,NO,,CROP_RECOMMENDATION,CONFERENCE,T3_DISCOVERY_ONLY,NOT_VERIFIED,METADATA_PARTIAL,INDIRECT,,D,NOT_CHECKED,Weak venue and no full-text verification,Crop label classifier without decision constraints
EXC-002,NO,,CROP_PLANNING,PEER_REVIEWED,T1_PUBLISHER,ABSTRACT_ONLY,DOI_VERIFIED,INDIRECT,,C,NO_ADVERSE_UPDATE,No admissible full-text copy located,Could not audit methods or limitations
EXC-003,NO,,COPULA_CVAR,CONFERENCE_CHAPTER,T1_PUBLISHER,ABSTRACT_ONLY,DOI_VERIFIED,INDIRECT,,C,NO_ADVERSE_UPDATE,Financial application redundant with stronger foundations,No agriculture or theorem role
EXC-004,NO,,AGRICULTURAL_WATER,PEER_REVIEWED,T1_PUBLISHER,ABSTRACT_ONLY,DOI_VERIFIED,INDIRECT,,C,NO_ADVERSE_UPDATE,Water-allocation application outside crop-ranking mechanism,Inexact intervals and penalties differ from canonical model
EXC-005,NO,,AGRICULTURAL_WATER,PEER_REVIEWED,T1_PUBLISHER,ABSTRACT_ONLY,DOI_VERIFIED,INDIRECT,,C,NO_ADVERSE_UPDATE,Redundant water-allocation CVaR application,No ranking or copula analysis
EXC-006,NO,,CONTROLLED_ENVIRONMENT_AGRICULTURE,PEER_REVIEWED,T1_PUBLISHER,ABSTRACT_ONLY,DOI_VERIFIED,INDIRECT,,C,NO_ADVERSE_UPDATE,Mean-variance robust design not direct to claims,Semi-infinite engineering design scope
EXC-007,NO,,VALUE_OF_INFORMATION,PEER_REVIEWED,T1_PUBLISHER,ABSTRACT_ONLY,DOI_VERIFIED,DIRECT,,C,NO_ADVERSE_UPDATE,Replaced by full institutional version of Keisler record,Duplicate DOI
EXC-008,NO,,OPERATIONAL_FLEXIBILITY,PEER_REVIEWED,T1_PUBLISHER,ABSTRACT_ONLY,DOI_VERIFIED,INDIRECT,,C,NO_ADVERSE_UPDATE,Redundant with full author version of Van Mieghem,Duplicate DOI
EXC-009,NO,,AGRICULTURAL_ML,PREPRINT,T1_ARXIV,FULL_VERIFIED,ID_VERIFIED,INDIRECT,,C,NO_ADVERSE_UPDATE,Too recent and redundant with peer-reviewed reviews,No crop-allocation decision layer
EXC-010,NO,,CROP_PLANNING,PREPRINT,T1_ARXIV,FULL_VERIFIED,ID_VERIFIED,DIRECT,,C,NO_ADVERSE_UPDATE,Post-freeze preprint with unverified empirical provenance,Potential future update only
EXC-011,NO,,PRESCRIPTIVE_ANALYTICS,SECONDARY_WEB,T3_SCRAPED,SNIPPET_ONLY,METADATA_PARTIAL,INDIRECT,,D,NOT_CHECKED,AI-generated or secondary summary prohibited,No primary full text
EXC-012,NO,,GENERAL_BACKGROUND,BLOG,T3_WEB,SNIPPET_ONLY,METADATA_NONE,INDIRECT,,D,NOT_CHECKED,Non-scholarly source prohibited,No admissible claim role
