output_file,row_unit,required_keys,purpose,admissibility_boundary
raw_replications.csv,experiment_cell_replication,"experiment_id;cell_id;replication_seed",All selected policies and numerical diagnostics,"Simulation only; failed/infeasible rows retained"
paired_contrasts.csv,registered_contrast_replication,"experiment_id;contrast_id;replication_seed;metric",Matched treatment-minus-control estimands,"Only controlled declared changes"
sequential_stopping.csv,contrast_metric_check,"experiment_id;contrast_id;metric;check_n",Confidence-controlled stopping evidence,"Maximum without precision is adverse"
mechanism_summary.csv,contrast_metric,"experiment_id;contrast_id;metric",Final estimates and intervals,"No causal or empirical interpretation"
nested_model_path.csv,stage_replication,"replication_seed;model_stage",M0--M4 selected outcomes and path changes,"Path increments are order dependent"
block_subset_values.csv,subset_replication,"replication_seed;subset_id",All 16 coherent block-subset outcomes,"Undefined if common domain fails"
block_attribution.csv,block_or_order_replication,"replication_seed;attribution_type;block",Shapley and all-24-order attribution,"Selected-policy attribution; face sensitivity separate"
kkt_pressures.csv,pair_cell_replication,"experiment_id;cell_id;replication_seed;crop_i;crop_j",Margin risk budget shared and boundary pressure ledger,"Marginal units not acreage cause"
optimal_faces.csv,cell_replication,"experiment_id;cell_id;replication_seed",Selected possible and universal reversal audit,"Objective-equivalence tolerance required"
risk_frontier.csv,law_limit_replication,"assumed_family;risk_limit;replication_seed",Assumed and true-law risk-return frontier,"Model sensitivity only"
dependence_evaluation.csv,true_assumed_replication,"true_family;assumed_family;replication_seed",Paired true-law feasibility and regret,"Regret only when true-law feasible"
diversification_metrics.csv,policy_comparator_replication,"true_family;assumed_family;replication_seed",Concentration variance tail and regret metrics,"No scalar diagnostic is sufficient"
information_flexibility.csv,archetype_precision_flex_replication,"archetype;signal_accuracy;flexibility_level;replication_seed",VOI actionability and interaction,"Finite synthetic design only"
scenario_registry.csv,scenario_stream,"experiment_id;replication_seed;stream_id",Seed scenario and generator lineage,"Hashes reproduce but are not evidence alone"
independent_replay.csv,replayed_anchor,"experiment_id;replication_seed",Task-order-independent deterministic replay,"Numerical reproducibility only"
solver_sensitivity.csv,anchor_solver,"anchor_id;solver_method",Boundary method comparison,"Selection differences retained"
figure_source_data.csv,planned_panel_mark,"figure_id;panel_id;source_output;metric",Tidy inputs for GOAL-13 F2--F5,"No figure generated in GOAL-12"
claim_assessment.csv,theory_result,"theory_result_id",Support falsification and precision classification,"Allowed states only"
resource_audit.json,run,"status;peak_parent_rss_bytes",Observed resource use and cap,"Computational governance only"
summary.json,run,"design_sha256;actual_replications;experiment_precision",Run dimensions and hard-gate outcomes,"Adverse precision outcomes retained"
run_log.json,run,"command;python;wall_seconds;design_sha256",Runtime environment and command provenance,"Reproducibility metadata only"
SHA256SUMS.txt,file,"sha256;filename",Checksum coverage for every governed output,"Integrity metadata only"
