requirement_id,requirement,evidence,status,notes
G15-01,"Use only admitted governed data",empirical/configs/stage_ii_empirical_design.yaml,PASS,"No download or county inference; 231 rows and 77 state-years preserved"
G15-02,"Freeze estimands and uncertainty before estimation",empirical/configs/stage_ii_empirical_design.yaml,PASS,"Six estimands; 5000-replication state-cluster bootstrap"
G15-03,"Register model-linked predictions and nulls",empirical/stage_ii/prediction_registry.csv,PASS,"Four observable predictions and four non-testable mechanism boundaries"
G15-04,"Analyze observed acreage transitions",empirical/stage_ii/outputs/rank_transition_events.csv,PASS,"51 state-year transitions per definition; entry/exit not estimable under complete-three-crop design"
G15-05,"Quantify inversion intensity",empirical/stage_ii/outputs/inversion_intensity_summary.csv,PASS,"Four definitions with state-cluster intervals"
G15-06,"Report state and year heterogeneity",empirical/stage_ii/outputs/state_heterogeneity.csv;empirical/stage_ii/outputs/year_heterogeneity.csv,PASS,"No ranking of states by three-year precision"
G15-07,"Strengthen temporal validation",empirical/stage_ii/outputs/transition_summary.csv,PASS,"Rolling-origin lagged scores for 2023 and 2024; registered null retained"
G15-08,"Audit definition sensitivity",empirical/stage_ii/outputs/definition_agreement.csv,PASS,"All six pairwise definition comparisons retained"
G15-09,"Audit national aggregation",empirical/stage_ii/outputs/aggregation_summary.csv,PASS,"Operating-margin/revenue nulls total-cost discordance and relative-yield ties retained"
G15-10,"Address operational-pattern linkage without overclaim",empirical/stage_ii/outputs/inertia_association.csv,PASS,"Prior share explicitly labelled inertia proxy not operational constraint"
G15-11,"Separate observed model and unidentified constructs",empirical/stage_ii/outputs/observed_model_unidentified.csv,PASS,"No private objective constraint CVaR copula causality or welfare inference"
G15-12,"Provide complete robustness and negative evidence",empirical/stage_ii/claim_evidence_map.csv,PASS,"Definition temporal geographic aggregation holdout and null evidence mapped"
G15-13,"Provide full lineage and two independent replays",empirical/stage_ii/outputs/reproducibility.json,PASS,"19 artifacts reproduced byte-for-byte twice"
G15-14,"Validate fail closed",scripts/validate_stage_ii_empirical.py,PASS,"87 design result lineage registry and boundary checks"
