imported_asset_id,imported_path,imported_classification,canonical_destination,promoted,repair_applied,repair_description,scientific_logic_changed,validation_command,validation_result,checksum_before,checksum_after,evidence_role,limitations,notes
A0001,CLAIM_EVIDENCE_MAP.csv,VERIFIED_REPRODUCIBLE,provenance/manifests/import_package_CLAIM_EVIDENCE_MAP.csv,YES,NO,Byte-identical promotion,NO,pytest -q; python audits/validate_canonical_data.py,PASS,47b4e8d46b04ebc864d85ba40e22cf13c0dbdb9e9e067d91da656ed2b543b1ed,47b4e8d46b04ebc864d85ba40e22cf13c0dbdb9e9e067d91da656ed2b543b1ed,component_or_source_provenance,Component promotion does not verify historical results,Historical outputs and manuscript claims excluded
A0018,code/tests/test_benchmarks.py,VERIFIED_REPRODUCIBLE,tests/test_benchmarks.py,YES,YES,Package imports or project-relative config path normalized,NO,pytest -q; python audits/validate_canonical_data.py,PASS,934cbfc844d58b31971465d0d00867cbfaf1ccf4d7022f87aeb6fd486f738cbf,081241c8c73e1570c014d675d3723b0de93e28293c0e9a191ca60abe5f79eca7,component_or_source_provenance,Component promotion does not verify historical results,Historical outputs and manuscript claims excluded
A0019,code/tests/test_constraint_diagnostics.py,VERIFIED_REPRODUCIBLE,tests/test_constraint_diagnostics.py,YES,YES,Package imports or project-relative config path normalized,NO,pytest -q; python audits/validate_canonical_data.py,PASS,644e3bab9551fcf5b4cdd402687788d9d99b9f63ad7d0b9fadff6cdf7274d23e,1c9094d3909454a6d0a411a98a43697d4d1e49a47391d2f68d8ab26f58c85063,component_or_source_provenance,Component promotion does not verify historical results,Historical outputs and manuscript claims excluded
A0020,code/tests/test_copulas.py,VERIFIED_REPRODUCIBLE,tests/test_copulas.py,YES,YES,Package imports or project-relative config path normalized,NO,pytest -q; python audits/validate_canonical_data.py,PASS,7e30a0ba291da68b4c5b1c12f18b21d5128e52cb40f4284b683ed69243119b29,dfe610223b387918a3bae5506684f62e0101c564f1f1f5355a88aa8db3880c37,component_or_source_provenance,Component promotion does not verify historical results,Historical outputs and manuscript claims excluded
A0021,code/tests/test_cvar.py,VERIFIED_REPRODUCIBLE,tests/test_cvar.py,YES,YES,Package imports or project-relative config path normalized,NO,pytest -q; python audits/validate_canonical_data.py,PASS,d939e2f9db0a9e86590d24cff6d981cb405a725c115d4eb188facfae48ce56bc,43a50afb5b336be280eb3c76441d73fd248c803aa577d1e1636447dae92687cb,component_or_source_provenance,Component promotion does not verify historical results,Historical outputs and manuscript claims excluded
A0022,code/tests/test_cvar_sign.py,VERIFIED_REPRODUCIBLE,tests/test_cvar_sign.py,YES,YES,Package imports or project-relative config path normalized,NO,pytest -q; python audits/validate_canonical_data.py,PASS,01c5cc335ebf1f91324f33939693e318a7850dd603d686e7a73575855a7f3473,87d07020106e6803f65d7debde167e250b9666eef3d312dea4ad4e076078e8c6,component_or_source_provenance,Component promotion does not verify historical results,Historical outputs and manuscript claims excluded
A0024,code/tests/test_information_flexibility.py,VERIFIED_REPRODUCIBLE,tests/test_information_flexibility.py,YES,YES,Package imports or project-relative config path normalized,NO,pytest -q; python audits/validate_canonical_data.py,PASS,f83f1db8f2ae44db49e950948c23e8f49c57b9507f2ff4b101247c6c133ec589,88c8443023a19cb46b6e9419826b0da7eea98b4d3daceed90264f3a8bd2c32bb,component_or_source_provenance,Component promotion does not verify historical results,Historical outputs and manuscript claims excluded
A0025,code/tests/test_optimizer_feasibility.py,VERIFIED_REPRODUCIBLE,tests/test_optimizer_feasibility.py,YES,YES,Package imports or project-relative config path normalized,NO,pytest -q; python audits/validate_canonical_data.py,PASS,0965a8b8ac002f2afb5828a440d1d7be7f2e73f022d2d8da074545dd2587a789,627d7a294cf40a2abbeb3b510ee1aadd19e64d25a1a87e94f90ad074b91d1c6f,component_or_source_provenance,Component promotion does not verify historical results,Historical outputs and manuscript claims excluded
A0027,code/tests/test_ranking_reversal.py,VERIFIED_REPRODUCIBLE,tests/test_ranking_reversal.py,YES,YES,Package imports or project-relative config path normalized,NO,pytest -q; python audits/validate_canonical_data.py,PASS,5d978ae4ad16709634ec2d4cb2b3bddae25c38bc2d0bee33f4916ce45a5a6fd7,0014816acf9ce3d3f7c9a1e3c01c8fa74a4ecfc395baaa3fedfb0ba843e6b8a8,component_or_source_provenance,Component promotion does not verify historical results,Historical outputs and manuscript claims excluded
A0029,code/tests/test_scenarios.py,VERIFIED_REPRODUCIBLE,tests/test_scenarios.py,YES,YES,Package imports or project-relative config path normalized,NO,pytest -q; python audits/validate_canonical_data.py,PASS,33109ef6879a7f33f323d250348dda8f2556e0851000494f833a213775c2d974,673a03c9598eedae0565ffb5f31af2824d014844677b49835fe8a620fd4fff84,component_or_source_provenance,Component promotion does not verify historical results,Historical outputs and manuscript claims excluded
