assumption_id,assumption,scope,needed_for,status,verification_or_falsification,failure_effect
S2-A01,"The Stage I canonical loss-CVaR model CT1--CT10 is the retained baseline",all Stage II theory,model preservation,REQUIRED,"Validate links to theory/repaired/canonical_theorem_set.md and teacher baseline hashes","No Stage II result may be interpreted independently of the repaired sign and feasible-set conventions"
S2-A02,"Every admissible primitive tuple explicitly specifies cardinal margins, profit law, feasible set, risk limit and optimizer selection",allocation identified set,S2-D01;S2-P01,REQUIRED,"Schema and mapping validation; no implicit primitive class","Allocation identification claims are undefined"
S2-A03,"The optimizer-selection rule is deterministic, documented and held fixed across a selected counterfactual comparison",selected acreage effects,S2-D03;S2-P05,ADDITIONAL,"Replay identical optimal faces and verify identical selected vertices","Selected attribution is not reproducible; report only optimal-face ranges"
S2-A04,"Suitability ties and the acreage tolerance tau_x are declared before classification",ranking and reversal,S2-D01;S2-P02;S2-C01,REQUIRED,"Tie-class and tolerance fields in every downstream design","Strict ranking or reversal labels are not well defined"
S2-A05,"When profit-based rank preservation is invoked, suitability and expected margin induce the same strict top-rank ordering; numerical equality is not assumed",rank preservation,S2-C01,ADDITIONAL,"Compare order only and record monetary units separately","The corollary cannot connect suitability to the objective"
S2-A06,"Every reversed feasible point covered by the exchange certificate admits a positive pairwise transfer e_i-e_j inside the operational feasible set",exchange rank preservation,S2-P02,ADDITIONAL,"Analytic tangent/finite-step check for each covered point","The exchange proof does not exclude boundary-forced reversal"
S2-A07,"The exchange step is risk-feasible by direct evaluation, strict slack plus continuity, or a strictly negative CVaR directional derivative at a binding boundary",exchange rank preservation,S2-P02,ADDITIONAL,"Direct finite-step CVaR check is primary; zero derivative is insufficient","No risk-feasible improvement certificate exists"
S2-A08,"The restricted winner-take-all case has only nonnegativity and a land inequality, A>0, a unique positive top margin and a redundant CVaR constraint",restricted top-rank preservation,S2-C01,RESTRICTED,"Solve the analytic simplex case and test every excluded assumption","The winner-take-all conclusion is not available"
S2-A09,"The canonical risk-feasible set is nonempty at every risk limit or dependence state being compared",risk contractions,S2-P06;S2-P07,REQUIRED,"Phase-I feasibility LP at every endpoint and refinement point","Value/allocation comparisons must report infeasibility rather than extrapolate"
S2-A10,"Convex KKT qualification holds or the finite-scenario LP is feasible and bounded",KKT pressure accounting,S2-T01,REQUIRED,"Primal-dual residual and strong-duality certificate","Pressure terms are not certified optimality quantities"
S2-A11,"One atom-safe CVaR subgradient or normalized scenario-dual tail-weight vector is recorded",tail-risk pressure,S2-T01,REQUIRED,"Tail weights are nonnegative, capped and sum to one when the risk dual is positive","A unique marginal-CVaR derivative must not be reported"
S2-A12,"All pressure terms use objective currency per acre after a common real-dollar base and declared acreage unit",KKT pressure accounting,S2-T01,REQUIRED,"Dimension audit and residual reconstruction","Cross-term magnitudes cannot be compared"
S2-A13,"Every counterfactual block has a coherent fallback value defined before results and uses common exogenous inputs where comparison requires them",M0--M4 attribution,S2-D03;S2-P05,REQUIRED,"Freeze block table, scenarios, tolerances and fallback parameters","Block differences confound mechanism and design changes"
S2-A14,"Symmetric attribution evaluates all 2^K block subsets with the same selection rule",Shapley attribution,S2-P05,ADDITIONAL,"Completeness and efficiency tests over the subset lattice","Use declared path attribution plus order sensitivity instead"
S2-A15,"True-law and assumed-law comparisons hold margins, action set, risk convention and evaluation draws fixed",diversification misspecification,S2-D04;S2-P08,REQUIRED,"Paired true-law evaluation and parameter registry","Regret or pseudo-diversification cannot be attributed to dependence misspecification"
S2-A16,"Signal timing is signal observation then acreage policy choice then profit realization; uninformed constant policies are feasible informed policies",information value,S2-T02,REQUIRED,"Policy-space inclusion and timing diagram","Nonnegative operational information value is not guaranteed by the stated model"
S2-A17,"A more informative experiment can reproduce the less informative signal through a registered garbling, allowing independent randomization",information monotonicity,S2-T02,ADDITIONAL,"Verify stochastic garbling matrix and induced joint law","Precision labels alone do not order information value"
S2-A18,"Flexibility expands the operational action sets X(phi) by verified nesting",weak flexibility value,S2-T02,ADDITIONAL,"Set-inclusion validator for every adjacent flexibility level","Even weak informed or uninformed value monotonicity is not established"
S2-A19,"For conditional complementarity, the policy/action domain is a lattice, feasible correspondences are nonempty compact sublattices increasing in strong set order, and the policy payoff is jointly supermodular",conditional information-flexibility complementarity,S2-T03,RESTRICTED,"Prove each lattice closure and four-point supermodularity inequality","Strict/general complementarity remains a numerical hypothesis or is rejected"
S2-A20,"Any claim of strict complementarity additionally has a strict cross-difference on the declared parameter range",strict information-flexibility complementarity,S2-T03,RESTRICTED,"Simultaneous lower confidence bound for every preregistered cross-difference is above zero","Only weak complementarity or a null/substitution result is admissible"
S2-A21,"A full-land-use claim has a feasible positive-mean expansion that preserves every operational and CVaR constraint",land use,model interpretation,ADDITIONAL,"Construct and evaluate the expansion direction","Idle land may be optimal"
S2-A22,"Empirical variables are timestamped before acreage choice and tagged observed, proxy, model-derived or unavailable",theory-to-empirical mapping,empirical hypotheses,REQUIRED,"Registry and design audit","Mechanism validation or causal language is inadmissible"
