theory_result_id,assessment,evidence_summary,design_id,design_sha256,evidence_type,manuscript_promotion_requires_supervisor
S2-B01,SUPPORTED,E6 null and substitution boundary,CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,True
S2-C01,SUPPORTED,E1 positive dominance anchor,CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,True
S2-H01,PRECISION_FAILED,E1 fixed-score cardinal margin sweep,CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,True
S2-H02,PRECISION_FAILED,E4 within-family response and null retention,CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,True
S2-P01,SUPPORTED,E1 nested information classes and face ranges,CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,True
S2-P02,SUPPORTED,E1 exchange-compatible rank anchors,CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,True
S2-P03,SUPPORTED,E2 forcing pressure boundary trichotomy,CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,True
S2-P04,PRECISION_FAILED,E3 nested risk-limit frontier,CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,True
S2-P05,SUPPORTED,16 subsets and 24 orders,CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,True
S2-P06,NOT_IDENTIFIED,E4 does not assert an unverified global loss order,CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,True
S2-P07,SUPPORTED,E5 non-equivalent diversification metrics,CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,True
S2-P08,PRECISION_FAILED,E5 true-law violation before feasible regret,CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,True
S2-T01,SUPPORTED,E2/E3 exact pressure ledger,CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,True
S2-T02,SUPPORTED,E6 exact ignore-signal and garbling checks,CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,True
S2-T03,PARAMETER_DEPENDENT,E6 positive interaction retained only by archetype,CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,True
