theory_result_id,mechanism,required_parameters,held_fixed,treatment,outcomes,falsification,evidence_status
CT1,Existence and finite CVaR LP equivalence,"n,S,w,alpha,kappa,X,scenario profits",Scenario matrix and solver tolerances,Analytic versus LP evaluation,"objective,CVaR,feasibility,solution set","Any sign mismatch; infeasible reported optimum; analytic and LP CVaR differ beyond tolerance",METHOD_TEST_ONLY
CT2,Ordinal rank insufficiency,"score ordering,X,profit law",Same strict rank,Monotone score transformations and alternative admissible cardinal maps,Feasible and optimal acreage ranges,Any invariant ordinal rank uniquely pins all cardinal allocations,LOGICAL_RESULT
CT3,Feasibility-forced reversal,"ell,u,G,g,X,tau_x",Profit law and score order,Tighten coordinate bounds,"min/max x_j-x_i on X and optimal face",Universal reversal reported without verified feasible-set separation,UNIT_TEST
CT4,Risk-slack invariance,"X,mu,profit scenarios,alpha,kappa grid",Operational set and distribution,Vary kappa across unconstrained-risk frontier,"optimal-set bounds,objective,risk dual",Optimal-set identity fails after exhaustive face audit,NUMERICAL_VERIFICATION
CT5,Complete KKT and tail weights,"all primal rows,scenario weights,alpha",Solver and tolerances,Active-set and VaR-atom cases,"primal residual,dual residual,complementarity,tail-weight sum","Any omitted dual; negative multiplier; tail-weight violation; residual above tolerance",NUMERICAL_VERIFICATION
CT6,Risk-adjusted displacement certificate,"x,h,mu,alpha,kappa,scenario profits",Current point and operational constraints,Pairwise and general feasible directions,"directional risk,finite-step risk,objective gain","Certificate declares nonoptimality when no actual risk-feasible improving step exists",NUMERICAL_VERIFICATION
CT7,Restricted dependence ordering,"fixed marginals,named copula family,theta,D",Marginals common random numbers and X,Ordered theta pairs,"loss convex-order diagnostics,CVaR,feasible-set inclusion,value","Convex-order premise fails or lower-theta CVaR exceeds higher-theta CVaR beyond Monte Carlo uncertainty",CONDITIONAL_HYPOTHESIS
CT8,Crossing regions,"theta grid,selection sigma,tau_x",Marginals X solver and seed streams,Adaptive theta refinement,"Delta interval,reversal region,crossing set,active set","A claimed unique threshold coexists with missed crossing interval or basis change",PREREGISTERED_ANALYSIS
CT9,Pseudo-diversification diagnostic,"rho0,lambda0,benchmark policy",Named estimators and sample size,Vary mean constraints and dependence separately,"diagnostic flag,inclusion,CVaR,value","Diagnostic is treated as sufficient for exclusion or welfare effect",DESCRIPTIVE_ONLY
CT10,Information actionability and flexibility,"signal law,prior,posterior,action sets A_f,timing",Payoff and risk convention,Signal quality and nested flexibility levels,"prior value,posterior value,VOI,policy differences","Negative VOI despite an admissible ignore-signal policy; weak value falls under a verified nested set",CONDITIONAL_HYPOTHESIS
