assumption_id,assumption,needed_for,status,teacher_explicit,verification_or_test
A01,"Profit scenarios are integrable",finite means and CVaR,REQUIRED,NO,"Check finite values and weights"
A02,"X is nonempty",any optimizer,REQUIRED,PARTIAL,"Solve phase-I feasibility LP"
A03,"X is compact",existence of optimum,REQUIRED_FOR_EXISTENCE,NO,"Follows from x>=0 and finite A or finite upper bounds"
A04,"Loss is affine in x",convexity and LP formulation,VERIFIED,YES,"L_s=-pi_s^T x"
A05,"Scenario probabilities are positive and sum to one",finite-scenario CVaR,REQUIRED,IMPLICIT,"Validate weights; equal weights are 1/S"
A06,"No atom at portfolio VaR and local regularity",unique conditional marginal-CVaR derivative,ADDITIONAL,NO,"Otherwise use subgradient/dual interval"
A07,"Constraint qualification or finite-LP strong duality",KKT sufficiency and multipliers,ADDITIONAL,NO,"Use Slater for convex model or solver LP dual certificate"
A08,"Unique optimizer or explicit selection rule",single-valued acreage comparative statics,ADDITIONAL,NO,"Audit optimal face and perturbation sensitivity"
A09,"Fixed marginals and named copula family",dependence comparative statics,REQUIRED,PARTIAL,"Document family parameter and common uniforms"
A10,"Strict monotonic crossing with endpoint sign change",unique reversal threshold,ADDITIONAL,NO,"Verify continuity; strict monotonicity; endpoint crossing; active sets"
A11,"Nested feasible sets X(phi)",weak value of flexibility,ADDITIONAL,PARTIAL,"Verify X(phi1) subset X(phi2)"
A12,"Lattice action sets; increasing differences; monotone selection",strict information-flexibility complementarity,ADDITIONAL,NO,"Required before Topkis-style argument"
A13,"Signal is observed before allocation and both value terms use same timing",value of information,REQUIRED,NO,"Write posterior and outer expectations explicitly"
A14,"All unconstrained optima satisfy the CVaR limit",optimal-set invariance under slack risk limit,ADDITIONAL,NO,"Checking one slack optimum is insufficient when optima are multiple"
A15,"Suitability and expected profit induce the same strict weak order",profit-based suitability corollary,ADDITIONAL,NO,"Do not set scores numerically equal across incompatible units"
A16,"A feasible profitable expansion exists at any idle-land candidate",full land use conclusion,ADDITIONAL,NO,"Check risk; budget; rotations; upper bounds along expansion direction"
A17,"Teacher numerical values are illustrative only",all claimed numerical findings,NOT_ADMISSIBLE,YES,"No external data provenance or accepted simulation evidence"
