theory_result_id,empirical_construct,observable_status,current_feasibility,admissible_claim,inadmissible_claim,additional_requirement
CT1,Observed margins and operational constraints,PARTLY_OBSERVED,FEASIBLE_AFTER_PROVENANCE,The registered optimization problem is well posed for the admitted sample,Observed acreage is generated by this objective alone,Official aligned units constraints and complete scenario construction
CT2,Suitability ranking versus acreage,OBSERVED_WITH_MEASUREMENT_ERROR,FEASIBLE_DESCRIPTIVELY,Ordinal suitability alone does not identify cardinal acreage,A score rank causally determines acreage,Document score scale ties uncertainty and geography-year alignment
CT3,Binding crop-specific bounds,PARTLY_OBSERVED,FEASIBLE_IF_AUTHORITATIVE,Recorded bounds are sufficient to force reversal in the stated feasible set,Observed reversal proves farmer risk aversion,Authoritative policy agronomic and capacity provenance
CT4,Risk-limit slackness,LATENT,NOT_CURRENTLY_IDENTIFIED,A calibrated model may classify its fitted risk constraint as slack,The real farmer risk constraint is slack,External or identified kappa and optimal-set sensitivity
CT5,Shadow prices and CVaR tail weights,LATENT,MODEL_DERIVED,Primal-dual diagnostics validate the numerical program,Solver duals are observed economic preferences,Complete registered constraints and stable active-set audit
CT6,Improving feasible acreage displacement,PARTLY_MODEL_DERIVED,FEASIBLE_AS_DIAGNOSTIC,A registered model admits a risk-feasible mean-improving local displacement,Farmers would actually execute that displacement,Behavioral identification and uncertainty propagation
CT7,Dependence ordering of portfolio loss,MODEL_DERIVED,FEASIBLE_CONDITIONALLY,A named fitted family satisfies the tested ordering over a declared domain,A larger empirical tail coefficient generally causes reversal,Family validation fixed marginals and simultaneous uncertainty bands
CT8,Reversal region and crossing set,MODEL_DERIVED,FEASIBLE_AFTER_FREEZE,A frozen model exhibits zero one multiple or interval crossings,The crossing is a universal structural threshold,Preregistered grid refinement selection rule and optimal-face audit
CT9,Low-correlation high-tail-dependence flag,ESTIMABLE,FEASIBLE_DESCRIPTIVELY,A crop pair meets predeclared diagnostic thresholds,The flag implies optimal exclusion higher CVaR or causal harm,Estimator uncertainty threshold sensitivity and explicit benchmark
CT10,Forecast actionability and flexibility,PARTLY_OBSERVED,NOT_CAUSALLY_IDENTIFIED,Recorded signals and feasible actions can support a model-based value calculation,Information and flexibility are strictly complementary in practice,Decision timing signal vintage counterfactual action sets and identification strategy
