gap_id,stage_i_result_id,stage_i_gap,stage_ii_disposition,canonical_resolution,proof_or_boundary,remaining_owner,next_action,manuscript_rule
G01,R03,Wrong profit-tail orientation,CLOSED_BY_REPAIR,CT1;S2-A01,theory/repaired/proofs.md CT1,NONE,None,"Use loss CVaR only"
G02,R05,Wrong cutoff plus differentiability at atoms,CLOSED_BY_REPAIR,CT5;S2-A11,theory/repaired/proofs.md CT5,NONE,None,"Use subgradient or scenario tail weights"
G03,R06,Missing budget and rotation dual terms,CLOSED_BY_REPAIR,CT5;S2-T01,theory/stage_ii/proofs.md S2-T01,NONE,None,"Report every named row and residual"
G04,R07,Stationarity-to-level-ordering leap,CLOSED_BY_REPLACEMENT,CT3;CT6;S2-P02,theory/stage_ii/proofs.md S2-P02,NONE,None,"KKT pressure is not acreage ordering"
G05,R07,Undefined gap_ij term,CLOSED_BY_REPAIR,S2-T01,theory/stage_ii/proofs.md S2-T01,NONE,None,"Use explicit risk budget shared and bound terms"
G06,R07,Active CVaR assumed without proof,CLOSED_BY_REPAIR,CT4;CT5,theory/repaired/proofs.md CT4 and CT5,NONE,None,"Condition on certified risk dual/slack"
G07,R09,Scalar tail coefficient treated as full dependence order,FALSE_BOUNDARY_RETAINED,CT7;S2-P06;S2-H02,theory/proofs/counterexamples/counterexamples.md CE3,GOAL12,"Run fixed-marginal named-family tests","No global lambda_L mechanism claim"
G08,R10,Existence of crossing not established,CLOSED_BY_REPLACEMENT,CT8,theory/repaired/proofs.md CT8,GOAL12,"Estimate crossing sets not presumed points","Allow no crossing"
G09,R10,Uniqueness of crossing not established,CLOSED_BY_REPLACEMENT,CT8,theory/repaired/proofs.md CT8,GOAL12,"Audit topology and active bases","Allow multiple or interval crossings"
G10,R10,LP basis changes and multiple optima ignored,OPEN_STAGE_II,CT8;S2-P05,theory/stage_ii/counterfactual_attribution_specification.md,GOAL12,"Run optimal-face and selection/order sensitivity","No selected threshold without face audit"
G11,R13,Correlation interpreted as optimizer inclusion rule,FALSE_BOUNDARY_RETAINED,S2-P07,theory/stage_ii/proofs.md S2-P07,GOAL12,"Report inclusion variance tail and regret separately","No optimizer implication from correlation"
G12,R13,Objective suboptimality interpreted as higher CVaR,FALSE_BOUNDARY_RETAINED,S2-P07;S2-P08,theory/stage_ii/proofs.md S2-P07 and S2-P08,GOAL12,"Evaluate true-law violation before feasible regret","Do not equate objective and risk order"
G13,R14,Inconsistent information timing and expectation,CLOSED_BY_REPAIR,CT10;S2-T02,theory/stage_ii/proofs.md S2-T02,NONE,None,"Use signal-policy-outcome timing and policy inclusion"
G14,R16,Lattice and increasing-differences conditions absent,CLOSED_BY_REPLACEMENT,S2-T03;S2-B01,theory/stage_ii/proofs.md S2-T03 and S2-B01,GOAL12,"Test restricted lattice or preregistered cross-differences","Strict complementarity only after structural gate"
G15,R19,Single slack optimizer confused with solution-set invariance,CLOSED_BY_REPAIR,CT4,theory/repaired/proofs.md CT4,NONE,None,"Use exact U intersection R identity"
G16,R23,Illustrative values lack admissible evidence,OPEN_STAGE_II,S2-H01;S2-H02,audits/stage_ii/simulation_redesign_plan.md,GOAL12,"Run preregistered confirmatory simulation from registered parameters","Historical values remain inadmissible"
G17,R24,No empirical validation protocol or results,OPEN_STAGE_II,S2-E01;theory_to_empirical_mapping.csv,audits/stage_ii/empirical_expansion_plan.md,GOAL15,"Build longer pre-decision model-linked panel","No validation claim now"
G18,R27,Proportional mapping assumes ratio-scale scores and feasibility,CLOSED_BY_REPAIR,CT2;S2-D01,theory/repaired/canonical_theorem_set.md §3,NONE,None,"Treat as declared benchmark and report repair separately"
G19,R28,Winner-take-all mapping lacks tie and feasibility rule,CLOSED_BY_REPAIR,CT2;S2-C01,theory/stage_ii/proofs.md S2-C01,NONE,None,"Use only restricted anchor or declared benchmark"
G20,R26,Multivariate copula validity and pairwise-versus-joint tail distinction unstated,CLOSED_BY_REPAIR,CT7;S2-P06,theory/specifications/dependence_model_specification.md,GOAL12,"Validate n-copula family and full loss order","Pairwise coefficients do not summarize joint tail"
