content_id,content_summary,issue_9_destination,final_status,boundary_or_replacement
D001,Suitability rankings may diverge from operational acreage allocation,manuscript/main.tex;supplementary/supplementary.tex;audits/stage_ii/reconstruction_traceability.csv,CLOSED_STAGE_II,PRESERVE
D002,"Agricultural planning, CVaR, copulas, information, and recommendation literatures",manuscript/main.tex;supplementary/supplementary.tex;audits/stage_ii/reconstruction_traceability.csv,CLOSED_STAGE_II,REBUILD
D003,Multi-crop acreage decision vector,manuscript/main.tex;supplementary/supplementary.tex;audits/stage_ii/reconstruction_traceability.csv,CLOSED_STAGE_II,PRESERVE
D004,Stochastic price and yield with deterministic per-acre cost,manuscript/main.tex;supplementary/supplementary.tex;audits/stage_ii/reconstruction_traceability.csv,CLOSED_STAGE_II,PRESERVE_AND_CLARIFY
D005,Per-acre and total portfolio profit,manuscript/main.tex;supplementary/supplementary.tex;audits/stage_ii/reconstruction_traceability.csv,CLOSED_STAGE_II,PRESERVE
D006,Joint profit distribution represented by a copula,manuscript/main.tex;supplementary/supplementary.tex;audits/stage_ii/reconstruction_traceability.csv,CLOSED_STAGE_II,PRESERVE_AND_RESTRICT
D007,Lower-tail-dependence coefficient,manuscript/main.tex;supplementary/supplementary.tex;audits/stage_ii/reconstruction_traceability.csv,CLOSED_STAGE_II,REPAIR_AND_RESTRICT
D008,Suitability scores and strict/weak crop rankings,manuscript/main.tex;supplementary/supplementary.tex;audits/stage_ii/reconstruction_traceability.csv,CLOSED_STAGE_II,PRESERVE_AND_CLARIFY
D009,Proportional score-to-acreage heuristic,manuscript/main.tex;supplementary/supplementary.tex;audits/stage_ii/reconstruction_traceability.csv,CLOSED_STAGE_II,RESTRICT_TO_BENCHMARK
D010,Winner-take-all heuristic,manuscript/main.tex;supplementary/supplementary.tex;audits/stage_ii/reconstruction_traceability.csv,CLOSED_STAGE_II,RESTRICT_TO_BENCHMARK
