requirement_id,source_requirement,evidence_file,verification_rule,status,notes
G11-01,"Confirm branch, commit, active issue, deliverables and stop criteria before execution",audits/stage_ii/README.md,"Baseline 4d6c14d, Issue 21, branch and stop condition are explicit",COMPLETE,"Control record only; no scientific result"
G11-02,"Produce current weakness analysis",audits/stage_ii/scientific_gap_audit.md,"Theory, simulation, empirical, visualization and manuscript weaknesses cite inspected Stage I evidence",COMPLETE,"Strengths and missing positive evidence are separated"
G11-03,"Produce theory gap analysis",audits/stage_ii/theory_gap_matrix.csv,"At least ten gap rows map positive theory targets to proof class and downstream gates",COMPLETE,"GOAL-14 owns theorem changes"
G11-04,"Produce simulation redesign",audits/stage_ii/simulation_redesign_plan.md,"M0-M4, controlled E1-E7 experiments, prospective precision, replay and promotion gates are specified",COMPLETE,"No simulation executed"
G11-05,"Produce empirical redesign",audits/stage_ii/empirical_expansion_plan.md,"Data layers, longer-panel priorities, seven estimands, identification ladder and promotion gates are specified",COMPLETE,"No data downloaded or result generated"
G11-06,"Produce approximately six main figure groups",audits/stage_ii/figure_blueprint.csv,"Exactly F1-F6 have a question, conclusion, source-data requirement, evidence gate and blocked status",COMPLETE,"No figure generated before evidence"
G11-07,"Apply current Nature-level figure standards",audits/stage_ii/figure_redesign_plan.md,"Current official URLs, dimensions, editable text, accessibility, statistics and source-data QA are recorded",COMPLETE,"Guidance checked 2026-07-21"
G11-08,"Produce manuscript restructuring roadmap",audits/stage_ii/manuscript_restructuring_roadmap.md,"Nine target sections, evidence ladder, disposition table and final rebuild gate are explicit",COMPLETE,"No manuscript prose rewritten"
G11-09,"Preserve five canonical research questions",audits/stage_ii/reconstruction_traceability.csv,"Q1-Q5 map theory, simulation, empirical relevance, figures, sections and claim gates",COMPLETE,"End-to-end blueprint"
G11-10,"Never restore unsupported historical claims",audits/stage_ii/scientific_gap_audit.md,"Historical thresholds, prevalence, welfare and out-of-sample values remain inadmissible",COMPLETE,"Stage I verified facts are labelled as such"
G11-11,"Preserve reproducibility infrastructure",PROJECT_PROTOCOL.md,"Existing evidence rules remain and Stage II adds versioned supersession and promotion gates",COMPLETE,"No validator, manifest or registry removed"
G11-12,"Do not rewrite manuscript in GOAL-11",audits/stage_ii/manuscript_restructuring_roadmap.md,"Status and final gate explicitly prohibit current rewrite",COMPLETE,"Roadmap only"
G11-13,"Stop after GOAL-11 for validation",audits/stage_ii/README.md,"Dependency order and stop condition prohibit GOAL-14/12/13/15 execution",COMPLETE,"Next phase remains blocked on supervisor validation"
G11-14,"Validate the blueprint requirement by requirement",scripts/validate_stage_ii_blueprint.py,"Schemas, row sets, required content, gates and acceptance statuses fail closed",COMPLETE,"Also included in make validate and tests"
