theory_result_id,model_prediction,empirical_construct,required_data,required_geographic_resolution,required_temporal_resolution,sign_or_pattern,timing,aggregation_risk,identification_level,descriptive_or_causal,observable_or_latent,feasible_with_current_data,additional_data_needed,admissible_claim,inadmissible_claim,notes
S2-P01,"Additional valid cardinal and feasibility information narrows allocation ambiguity",score-order and acreage-share uncertainty by information layer,"timestamped score components; margin inputs; acreage; observable constraints",matched decision geography,pre-decision score vintage plus subsequent acreage year,"identified acreage range should not widen under genuinely nested information","all predictors available before planting",state/county averaging can create or erase order,"DESCRIPTIVE_PARTIAL_IDENTIFICATION",DESCRIPTIVE,"scores and acreage observable; optimizer set latent",PARTLY,"geography-matched margins and authoritative constraint ranges","Observed variables narrow a descriptive allocation-consistency set","The remaining set is the farmer's true optimizer set","Observed acreage is never inserted as an optimality constraint"
S2-P02,"A feasible profitable risk-feasible exchange rules out reversal in the model",observable exchange-feasibility proxy,"pre-decision margins; crop bounds; budgets/rotation proxies; downside scenarios",farm preferred; county proxy limited,multi-year pre-decision inputs and next acreage,"reversal should be less compatible where every modeled exchange is feasible","constraints and margins precede acreage",farm heterogeneity lost in aggregates,"MODEL_BASED_DIAGNOSTIC",DESCRIPTIVE,"margins partly observed; private feasibility and risk latent",NO,"farm constraints or defensible partial-identification bounds","A registered model admits or blocks an exchange under stated inputs","Farmers face the modeled exchange or optimize CVaR","Risk-feasible exchange is primarily simulation evidence"
S2-C01,"With only a simplex and unique positive top margin the top crop receives all modeled land",restricted dominance anchor,"top expected margin; land; absence of other constraints",farm,pre-decision year,"winner-take-all only in verified unrestricted anchor","margin measured before allocation",aggregates almost surely mix constrained farms,"MODEL_SCOPE_CHECK",DESCRIPTIVE,"margins and acreage partly observable; absence of constraints not observed",NO,"farm-level complete constraint inventory","The restricted model predicts top-rank concentration","Observed nonconcentration falsifies the full teacher model","Use only as a boundary case"
S2-H01,"Cardinal margin gaps can matter even when rank is fixed",acreage-share transition versus continuous margin-gap change,"geography-matched price; yield; cost vintages; scores; acreage",county or finer,at least one pre-decision margin and subsequent acreage transition,"no universal sign; pre-register spline/heterogeneity and retain nulls","margin vintage precedes planting",national prices/costs attenuate local gaps,"ASSOCIATIONAL_PATTERN",DESCRIPTIVE,"margin gap partly observable",PARTLY,"local costs and prices with uncertainty","Acreage transitions are associated with pre-decision cardinal gaps conditional on score rank","Margin gaps causally determine optimal acreage","Separate fixed-rank strata from score changes"
S2-T01,"Certified local pressures reconstruct model stationarity",model-derived pressure ledger,"all registered model inputs and solver primal-dual outputs",model cell,each fitted/simulated decision cell,"residual within tolerance; no empirical sign prediction","inputs precede solve",not an aggregate empirical estimand,"NUMERICAL_MODEL_VALIDATION",DESCRIPTIVE,"all terms model-derived/latent",NO,"complete calibrated constraints and accepted simulation","The implemented model satisfies the registered KKT identity","Duals are observed farmer preferences or causal acreage effects","No direct empirical analogue for risk dual"
S2-P03,"Operational restrictions can force, pressure or select reversal through distinct channels",constraint status and acreage transition heterogeneity,"authoritative rotation/policy rules; contract/budget proxies; crop bounds; acreage",farm or rule-matched geography,rule effective date before acreage,"channel-specific; direct-forcing claims require range separation","rule/constraint precedes allocation",state aggregation masks binding status,"DESCRIPTIVE_OR_QUASI_EXPERIMENTAL_IF_DESIGN",DESCRIPTIVE,"some public rules observed; private contracts/budgets latent",PARTLY,"farm contracts; lender terms; equipment/capacity data","Observed patterns are consistent with a named operational channel under stated proxies","A binding proxy caused reversal or reveals a shadow price","Policy changes may support stronger designs later"
S2-P04,"Tighter modeled CVaR limits contract feasible sets and weakly lower modeled value",downside-exposure heterogeneity not farmer kappa,"profit-tail measures; acreage transitions; credit/risk proxies",farm preferred; county/state descriptive,long panel with pre-decision exposure,"no crop-specific monotone acreage sign","risk proxy measured before acreage",tail estimates unstable in short/aggregated panels,"DESCRIPTIVE_MODEL_CONSISTENCY",DESCRIPTIVE,"profit tails observable with data; farmer kappa latent",NO,"farm-level risk constraints or credible lender covenant data","Acreage patterns vary with registered downside-exposure measures","Observed acreage identifies a CVaR limit or its shadow price","Current data cannot validate the constraint mechanism"
S2-P05,"Selected block effects depend on model order and selection",no direct observational attribution,"complete model inputs and counterfactual outputs",model cell,not applicable,"attribution intervals may include zero","counterfactual blocks frozen before results",ecological data cannot identify block contributions,"SIMULATION_ONLY",DESCRIPTIVE,"counterfactuals latent",NO,"structural identification beyond current design","No empirical acreage contribution is claimed from simulation blocks","Observed acreage change equals a Shapley mechanism contribution","Empirical work may compare only named predictions"
S2-P06,"A verified adverse loss order contracts modeled opportunity sets",synchronized joint profit-tail exposure,"crop-level local yields prices costs; dependence uncertainty",matched multi-crop geography,long enough for tail estimation,"aggregate CVaR exposure may rise under the verified model order","outcomes used for estimation precede tested allocation when predictive",tail dependence is highly aggregation-sensitive,"DESCRIPTIVE_DISTRIBUTIONAL",DESCRIPTIVE,"joint profits partly observable; order/model latent",NO,"long local synchronized profit panel","A named fitted model exhibits the stated ordered-risk pattern with uncertainty","A larger scalar tail coefficient caused acreage reversal","Family and marginal uncertainty mandatory"
S2-H02,"Within-family dependence may alter selected acreage and reversal regions",acreage transition heterogeneity by pre-decision dependence estimates,"long synchronized profit histories; model inputs; acreage",county or production region,long rolling windows plus holdout,"no universal direction; family-specific preregistered pattern","dependence estimate uses only information available before allocation",short panels and geography mixing can reverse tails,"ASSOCIATIONAL_MODEL_LINK",DESCRIPTIVE,"dependence estimated with error; farmer model latent",NO,"longer panel and forecast-vintage dependence model","Observed transitions are consistent or inconsistent with a named family-specific prediction","Tail dependence is the identified causal mechanism","No empirical threshold claim"
S2-P07,"Concentration variance and tail outcomes can disagree",acreage HHI versus synchronized profit variance/CVaR,"acreage shares; local crop profit panel",matched geography,multi-year rolling tail window,"all metric combinations are admissible","risk window precedes or is separated from outcome test",state HHI mixes farms and cannot measure farm portfolios,"DESCRIPTIVE_NON_EQUIVALENCE",DESCRIPTIVE,"acreage concentration observed; farm portfolio risk partly latent",PARTLY,"farm-level crop mix and local profit outcomes","Lower acreage concentration need not coincide with lower estimated tail exposure","More crops imply lower farmer risk or welfare gain","Report uncertainty for every metric"
S2-P08,"An assumed-law policy can be true-law infeasible or feasible with nonnegative regret",out-of-sample model policy evaluation,"frozen model; held-out true-law outcomes; policies; constraints",model geography,rolling-origin train/test periods,"violation first; regret only when feasible","policy estimated before held-out outcomes",model evaluation does not reveal actual farmer objective,"MODEL_VALIDATION",DESCRIPTIVE,"policy and held-out outcomes model-observable; true law approximated",NO,"validated simulation and long holdout panel","A frozen policy has stated out-of-sample violation/regret under the evaluation law","Estimated regret is actual farmer welfare loss","Requires GOAL-12 before any empirical use"
S2-T02,"Information value is zero without actionable policy change and weakly rises under a verified garbling order",forecast-induced model policy change,"timestamped forecasts; revisions; crop actions; operational sets",farm preferred; county if decision matched,multiple forecast vintages before planting,"nonnegative modeled VOI; zero when policy invariant","forecast observed before acreage commitment",published revised forecasts can leak future information,"MODEL_BASED_ACTIONABILITY",DESCRIPTIVE,"forecast vintage observable; counterfactual policies latent",NO,"archived forecast vintages and action-set data","A frozen model's signal changes or does not change feasible policies","Forecast accuracy alone creates realized value","Garbling order must be demonstrated"
S2-T03,"Information and flexibility are complementary only under structural or finite-design cross-difference gates",forecast-by-flexibility interaction in policy transitions,"timestamped forecast; exogenous or authoritative flexibility measure; acreage transitions",farm or credible policy exposure,long panel around information/flexibility variation,"positive only if preregistered interaction passes; zero/substitution retained","both treatments precede action",aggregate flexibility proxies invite ecological bias,"CAUSAL_ONLY_WITH_EXOGENOUS_DESIGN",DESCRIPTIVE,"signals partly observed; feasible policy lattice latent",NO,"exogenous flexibility change and archived forecasts","A descriptive interaction is consistent with the model under explicit limitations","Information and flexibility are causally complementary in practice","Main theoretical theorem remains restricted"
S2-B01,"Nested flexibility alone permits zero or substitution",null/negative interaction cases,"same inputs as S2-T03",same as S2-T03,same as S2-T03,"zero and negative interactions are admissible","pre-decision timing required",same aggregation risk as S2-T03,"BOUNDARY_PATTERN",DESCRIPTIVE,"interaction observable only with strong data",NO,"same as S2-T03","Observed null/substitution does not contradict the general theory","Every flexibility expansion must raise information value","Retain adverse results"
