requirement_id,source_requirement,evidence_file,verification_rule,status,notes
G14-01,"Confirm branch, commit, issue, deliverables and stop before execution",theory/stage_ii/README.md,"Parent commit 55b4950, Issue 24, branch and GOAL-12 stop are explicit",COMPLETE,"Supervisor authorization is linked"
G14-02,"Preserve the teacher baseline and do not rewrite the manuscript",theory/stage_ii/baseline_integrity.csv,"Teacher TeX/PDF and manuscript-tree hashes match the frozen baseline",COMPLETE,"Static hash gate fails closed"
G14-03,"Define formal Stage II assumptions",theory/stage_ii/assumption_registry.csv,"S2-A01--S2-A22 state scope, verification and failure effect without blanks",COMPLETE,"Stage I assumptions remain unchanged"
G14-04,"Distinguish theorem, proposition, definition, numerical hypothesis and empirical hypothesis",theory/stage_ii/proposition_audit.csv,"Every S2 result has an allowed evidence class, assumptions, proof/evidence link and status",COMPLETE,"No universal claim is hidden in prose"
G14-05,"Clarify when ranking predicts allocation and what information is missing",theory/stage_ii/canonical_theory_extension.md,"Allocation identified set, contraction, exchange certificate and restricted positive anchor are proved",COMPLETE,"Full lower-rank order is not overclaimed"
G14-06,"Develop a quantitative KKT mechanism decomposition",theory/stage_ii/mechanism_decomposition.md,"Margin, tail-risk, budget, shared and boundary terms have exact signs, units and residual",COMPLETE,"Explicitly not additive acreage causality"
G14-07,"Connect local pressure to selection-aware acreage attribution",theory/stage_ii/counterfactual_attribution_specification.md,"M0--M4, path order, all-subset Shapley efficiency and optimal-face sensitivity are specified",COMPLETE,"No confirmatory simulation is executed"
G14-08,"Formalize operational and downside-risk mechanisms",theory/stage_ii/canonical_theory_extension.md,"Direct forcing, marginal pressure, boundary selection and risk-set contraction have proof status",COMPLETE,"Crop-specific risk monotonicity remains unclaimed"
G14-09,"Distinguish diversification failure constructs",theory/stage_ii/diversification_framework.md,"Concentration, variance, true-law CVaR, violation and feasible regret are non-equivalent and comparator-indexed",COMPLETE,"Scalar low-correlation/tail flag remains descriptive"
G14-10,"Develop general and conditional information--flexibility results",theory/stage_ii/information_flexibility_framework.md,"Timing, policy inclusion, garbling order, set nesting, exact lattice conditions and substitution boundary are explicit",COMPLETE,"Full multi-crop lattice closure is rejected"
G14-11,"Map every accepted result to confirmatory and falsification tests",theory/stage_ii/theory_to_simulation_mapping.csv,"All non-empirical S2 results have parameters, controls, outcomes, falsification and convergence gates",COMPLETE,"GOAL-12 receives hypotheses rather than desired outcomes"
G14-12,"Map model predictions to empirical observability and identification",theory/stage_ii/theory_to_empirical_mapping.csv,"Every S2 result names data, timing, aggregation, status, admissible and inadmissible claims",COMPLETE,"Observed acreage is not an optimizer"
G14-13,"Reconcile every historical proof gap",theory/stage_ii/proof_gap_reconciliation.csv,"G01--G20 map to closed repair/replacement, retained false boundary or open Stage II owner",COMPLETE,"Open numerical and empirical work is not disguised as theory completion"
G14-14,"Verify only bounded methodological sources from full text or official records",theory/stage_ii/source_verification.md,"Every source used is already full-text verified in the literature registry and exact scope limits are recorded",COMPLETE,"No teacher citation is admitted"
G14-15,"Create deterministic proof and accounting checks",theory/proofs/computational_checks/test_stage_ii_theory.py,"Rank anchor, KKT closure, Shapley efficiency, risk contraction, diversification boundary and information boundary pass",COMPLETE,"Synthetic checks only"
G14-16,"Validate GOAL-14 without altering later-phase outputs",scripts/validate_stage_ii_theory.py,"Schema, traceability, proof tokens, baseline hashes and acceptance set fail closed; full repository check remains required",COMPLETE,"Final handoff stops before GOAL-12"
