claim_id,manuscript_section,claim_summary,evidence_level,evidence_assets,citation_keys,status
S2MC-01,Introduction,Agricultural prediction produces forecasts and rankings rather than constrained acreage allocations,LITERATURE,literature/annotated_synthesis.md,liakos2018machine;vanklompenburg2020crop,SUPPORTED
S2MC-02,Introduction,Crop planning is an operationally constrained portfolio problem,LITERATURE,literature/annotated_synthesis.md,filippi2017mixed;boyabatli2019crop;benini2023crop;randall2022robust;randall2024systematic,SUPPORTED
S2MC-03,Introduction,Predictive accuracy and downstream decision quality differ,LITERATURE,literature/annotated_synthesis.md,bertsimas2020predictive;elmachtoub2022smart;wilder2019melding;mandi2023decision,SUPPORTED
S2MC-04,Model,Loss-CVaR has an atom-safe convex finite-scenario representation,THEOREM,theory/repaired/canonical_theorem_set.md,rockafellar2000optimization;rockafellar2002conditional,SUPPORTED
S2MC-05,Model,A scalar tail-dependence coefficient does not identify portfolio CVaR or acreage,THEOREM_BOUNDARY,theory/repaired/canonical_theorem_set.md,demarta2005tcopula;ansari2024dependence,PROVED_WITH_RESTRICTION
S2MC-06,Structural results,Ordinal rankings do not identify cardinal allocations,THEOREM,theory/stage_ii/canonical_theory_extension.md,,PROVED
S2MC-07,Structural results,Feasibility can force universal reversal without a risk mechanism,THEOREM,theory/stage_ii/canonical_theory_extension.md,,PROVED
S2MC-08,Structural results,Complete KKT pressure terms do not imply acreage order,THEOREM,theory/stage_ii/canonical_theory_extension.md,,PROVED
S2MC-09,Structural results,Dependence comparisons require a portfolio-loss order and reversal regions need not have a unique threshold,THEOREM_BOUNDARY,theory/stage_ii/canonical_theory_extension.md,,PROVED_WITH_RESTRICTION
S2MC-10,Structural results,All-subset attribution and local pressure diagnostics close numerically,NUMERICAL_REPRODUCIBILITY,simulation/stage_ii/outputs/summary.json,,VERIFIED
S2MC-11,Confirmatory mechanism experiments,E2 operational interventions produce universal ranking reversal in every treated cell,PROMOTED_CONFIRMATORY_SIMULATION,simulation/stage_ii/outputs/paired_contrasts.csv;visualization/stage_ii/source_data/figure4_e2_cells.csv,,VERIFIED
S2MC-12,Confirmatory mechanism experiments,E2 passes all 24 registered family-wise primary intervals,PROMOTED_CONFIRMATORY_SIMULATION,visualization/stage_ii/source_data/figure4_e2_contrasts.csv,,VERIFIED
S2MC-13,Confirmatory mechanism experiments,E6 information-flexibility interaction can be positive exact-null or substitutive,PROMOTED_CONFIRMATORY_SIMULATION,visualization/stage_ii/source_data/figure5_information_interaction.csv,,VERIFIED
S2MC-14,Confirmatory mechanism experiments,E1 E3 E4 and E5 fail experiment-level precision and remain adverse,ADVERSE_SIMULATION,simulation/stage_ii/outputs/sequential_stopping.csv,,VERIFIED_NONHEADLINE
S2MC-15,Confirmatory mechanism experiments,Replay solver KKT and Shapley diagnostics pass,NUMERICAL_REPRODUCIBILITY,simulation/stage_ii/outputs/summary.json,,VERIFIED
S2MC-16,Empirical patterns,Concurrent operating-margin inversion intensity is 0.597 with a state-cluster interval,DESCRIPTIVE_EMPIRICAL,empirical/stage_ii/outputs/inversion_intensity_summary.csv,,VERIFIED
S2MC-17,Empirical patterns,All four lagged top-minus-other share-change intervals include zero,DESCRIPTIVE_TRANSITION_BOUNDARY,empirical/stage_ii/outputs/transition_summary.csv,,VERIFIED_QUALIFIED
S2MC-18,Empirical patterns,National aggregation changes inversion patterns and relative yield is tied,DESCRIPTIVE_AGGREGATION_BOUNDARY,empirical/stage_ii/outputs/aggregation_summary.csv,,VERIFIED_QUALIFIED
S2MC-19,Discussion,Observed acreage optimality private constraints CVaR copula causality and welfare are not identified,IDENTIFICATION_BOUNDARY,empirical/stage_ii/outputs/claim_boundaries.csv,,VERIFIED_BOUNDARY
S2MC-20,Related literature,Information value is actionable but strict information-flexibility complementarity is not general,LITERATURE_AND_THEOREM,theory/stage_ii/information_flexibility_framework.md,dantzig1955linear;keisler2004value;merkhofer1975value;vanmieghem1998investment,PROVED_WITH_RESTRICTION
