theory_result_id,empirical_construct,required_data,required_geographic_resolution,required_temporal_resolution,identification_level,descriptive_or_causal,observable_or_latent,feasible_with_current_data,additional_data_needed,admissible_claim,inadmissible_claim,notes
R01,Suitability ordering,Provenanced score components; geography; crop; year; tie rule,Common decision-relevant geography; county only where source support exists,Aligned decision year/season with vintage timestamps where forecasts are used,Validate ordinal stability and avoid assuming cardinal acreage meaning,DESCRIPTIVE unless a separate causal design is approved,Observed inputs plus latent constraints/preferences where noted,PARTIAL_REQUIRES_FULL_RERUN,"Decision constraints, forecast vintages, or synchronized profit inputs as specified",Score uncertainty and tie classes,Observed reversal proves CVaR causation or observed acreage equals the model optimum,Regional costs and county suitability require explicit resolution qualifications.
R08,Profit-ranking equivalence,Real price; yield; and cost data in common dollars and geography,Common decision-relevant geography; county only where source support exists,Aligned decision year/season with vintage timestamps where forecasts are used,Test rank concordance between suitability and expected profit,DESCRIPTIVE unless a separate causal design is approved,Observed inputs plus latent constraints/preferences where noted,PARTIAL_REQUIRES_FULL_RERUN,"Decision constraints, forecast vintages, or synchronized profit inputs as specified",Discordant pairs and confidence intervals,Observed reversal proves CVaR causation or observed acreage equals the model optimum,Regional costs and county suitability require explicit resolution qualifications.
R03;R04;R05,Profit/loss distribution,Joint crop-year or scenario profit data with weights,Common decision-relevant geography; county only where source support exists,Aligned decision year/season with vintage timestamps where forecasts are used,Validate lower-tail loss convention and VaR atoms,DESCRIPTIVE unless a separate causal design is approved,Observed inputs plus latent constraints/preferences where noted,PARTIAL_REQUIRES_FULL_RERUN,"Decision constraints, forecast vintages, or synchronized profit inputs as specified",Units; base year; missingness; tail sample size,Observed reversal proves CVaR causation or observed acreage equals the model optimum,Regional costs and county suitability require explicit resolution qualifications.
R06;R18;R20,Feasible constraints,Observed/authoritative land; budget; rotations; crop bounds,Common decision-relevant geography; county only where source support exists,Aligned decision year/season with vintage timestamps where forecasts are used,Separate physical/policy constraints from calibrated choices,DESCRIPTIVE unless a separate causal design is approved,Observed inputs plus latent constraints/preferences where noted,NO_OR_UNRESOLVED,"Decision constraints, forecast vintages, or synchronized profit inputs as specified",Source and uncertainty for every bound,Observed reversal proves CVaR causation or observed acreage equals the model optimum,Regional costs and county suitability require explicit resolution qualifications.
R09;R21,Dependence structure,Synchronized crop profit histories or defensible simulated marginals,Common decision-relevant geography; county only where source support exists,Aligned decision year/season with vintage timestamps where forecasts are used,Compare families; goodness-of-fit; tail uncertainty; do not identify by lambda_L alone,DESCRIPTIVE unless a separate causal design is approved,Observed inputs plus latent constraints/preferences where noted,NO_OR_UNRESOLVED,"Decision constraints, forecast vintages, or synchronized profit inputs as specified",Family selection; parameter CI; diagnostics,Observed reversal proves CVaR causation or observed acreage equals the model optimum,Regional costs and county suitability require explicit resolution qualifications.
R10;R11,Reversal threshold,Frozen model plus uncertainty draws for all inputs,Common decision-relevant geography; county only where source support exists,Aligned decision year/season with vintage timestamps where forecasts are used,Propagate parameter and optimal-set uncertainty; allow absent/multiple crossings,DESCRIPTIVE unless a separate causal design is approved,Observed inputs plus latent constraints/preferences where noted,NO_OR_UNRESOLVED,"Decision constraints, forecast vintages, or synchronized profit inputs as specified",Crossing-set interval rather than point-only estimate,Observed reversal proves CVaR causation or observed acreage equals the model optimum,Regional costs and county suitability require explicit resolution qualifications.
R12;R13,Pseudo-diversification,Pearson/concordance/tail metrics and realized constraints,Common decision-relevant geography; county only where source support exists,Aligned decision year/season with vintage timestamps where forecasts are used,Predeclare thresholds; compare counterfactual optimizers,DESCRIPTIVE unless a separate causal design is approved,Observed inputs plus latent constraints/preferences where noted,NO_OR_UNRESOLVED,"Decision constraints, forecast vintages, or synchronized profit inputs as specified",Avoid causal language from association alone,Observed reversal proves CVaR causation or observed acreage equals the model optimum,Regional costs and county suitability require explicit resolution qualifications.
R14;R15;R16;R22,Forecast information,Timestamped forecast vintages; outcomes; decision dates; feasible recourse actions,Common decision-relevant geography; county only where source support exists,Aligned decision year/season with vintage timestamps where forecasts are used,Prevent look-ahead; compare informed and uninformed policies on same state distribution,DESCRIPTIVE unless a separate causal design is approved,Observed inputs plus latent constraints/preferences where noted,NO_OR_UNRESOLVED,"Decision constraints, forecast vintages, or synchronized profit inputs as specified",Action changes; calibration; value uncertainty,Observed reversal proves CVaR causation or observed acreage equals the model optimum,Regional costs and county suitability require explicit resolution qualifications.
R23,Simulation claims,Registered config; code; seeds; raw output; environment,Common decision-relevant geography; county only where source support exists,Aligned decision year/season with vintage timestamps where forecasts are used,Reproduce independently before manuscript use,DESCRIPTIVE unless a separate causal design is approved,Observed inputs plus latent constraints/preferences where noted,NO_OR_UNRESOLVED,"Decision constraints, forecast vintages, or synchronized profit inputs as specified",Claim-evidence IDs for every number,Observed reversal proves CVaR causation or observed acreage equals the model optimum,Regional costs and county suitability require explicit resolution qualifications.
R24,Out-of-sample validation,Frozen training/holdout split; benchmarks; acreage outcomes; uncertainty,Common decision-relevant geography; county only where source support exists,Aligned decision year/season with vintage timestamps where forecasts are used,No tuning on holdout; compare predictive and decision metrics,DESCRIPTIVE unless a separate causal design is approved,Observed inputs plus latent constraints/preferences where noted,NO_OR_UNRESOLVED,"Decision constraints, forecast vintages, or synchronized profit inputs as specified",All failures and negative results,Observed reversal proves CVaR causation or observed acreage equals the model optimum,Regional costs and county suitability require explicit resolution qualifications.
