reference_id,title,authors,year,journal_or_publisher,doi,google_scholar_discovery_query,official_full_text_url_or_repository,full_text_verified,verification_date,research_domain,method,data,main_findings,limitations,manuscript_claims_supported,citation_status,notes
LIT-THEORY-001,Optimization of Conditional Value-at-Risk,"R. Tyrrell Rockafellar; Stanislav Uryasev",2000,Journal of Risk,10.21314/JOR.2000.038,"Optimization of Conditional Value-at-Risk Rockafellar Uryasev","https://sites.math.washington.edu/~rtr/papers/rtr179-CVaR1.pdf",YES,2026-07-19,CVaR optimization,"Loss-based auxiliary-function representation; convexity; scenario approximation and LP reduction",Analytical results and portfolio examples,"CVaR can be represented by minimizing a convex auxiliary function; finite linear-loss scenarios admit an LP","Initial presentation assumes continuous loss distributions for some tail-expectation identities","CT1 loss sign; Rockafellar-Uryasev representation; finite-scenario LP",THEORY_FOUNDATION_ONLY,"Author-hosted full 26-page manuscript inspected; not empirical evidence"
LIT-THEORY-002,Conditional Value-at-Risk for General Loss Distributions,"R. Tyrrell Rockafellar; Stanislav Uryasev",2002,Journal of Banking & Finance,10.1016/S0378-4266(02)00271-6,"Conditional Value-at-Risk for General Loss Distributions Rockafellar Uryasev","https://sites.math.washington.edu/~rtr/papers/rtr187-CVaR2.pdf",YES,2026-07-19,CVaR optimization,"General-distribution CVaR characterization including discontinuities and atoms",Analytical results,"Extends CVaR optimization identities beyond continuous loss distributions and distinguishes related tail quantities","Does not supply this paper's crop-specific model constraints or empirical parameters","CT1 and CT5 atom-safe CVaR formulation",THEORY_FOUNDATION_ONLY,"Author-hosted full 34-page manuscript inspected; no numerical value imported"
LIT-THEORY-003,Dependence properties of bivariate copula families,"B. Ansari; T. Rockel",2024,Dependence Modeling,10.1515/demo-2024-0002,"Dependence properties of bivariate copula families Ansari Rockel","https://www.degruyterbrill.com/document/doi/10.1515/demo-2024-0002/html",YES,2026-07-19,Copula dependence ordering,"Family-specific comparison of dependence properties and stochastic orders",Analytical bivariate copula families,"Dependence properties and orderings differ by named family and parameterization","Bivariate results do not automatically establish n-dimensional portfolio-loss convex order","CT7 restriction to named verified family and declared domain",THEORY_FOUNDATION_ONLY,"Publisher full text inspected; used only to govern the scope of dependence claims"
LIT-AGR-001,Mixed integer linear programming models for optimal crop selection,"Carlo Filippi; Renata Mansini; Elisa Stevanato",2017,Computers & Operations Research,10.1016/j.cor.2016.12.004,"crop selection CVaR Filippi Mansini Stevanato","https://www.sciencedirect.com/science/article/pii/S0305054816303033",YES,2026-07-19,Crop planning,"Expected-profit and CVaR mixed-integer crop-selection models with resource and timing constraints",Italian farm historical price and yield scenarios,"CVaR can be embedded in a realistic crop-mix model and changes selected crops relative to an expected-profit formulation","Historical scenarios are treated as forecasts; no copula stress, suitability ranking reversal, optimal-face audit, or information-flexibility layer","Agricultural precedent for constrained crop-mix optimization and CVaR",CANONICAL_CONTEXT,"Publisher full article inspected; closest included predecessor"
LIT-AGR-002,Crop Planning in Sustainable Agriculture: Dynamic Farmland Allocation in the Presence of Crop Rotation Benefits,"Onur Boyabatlı; Javad Nasiry; Yangfang (Helen) Zhou",2019,Management Science,10.1287/mnsc.2018.3044,"crop planning sustainable agriculture rotation uncertainty Boyabatli","https://ink.library.smu.edu.sg/lkcsb_research/4935/",YES,2026-07-19,Crop planning,"Dynamic farmland allocation with crop-rotation benefits and revenue uncertainty",Corn-soy calibration for Iowa,"Rotation benefits and revenue uncertainty jointly affect dynamic acreage allocation","Two-crop dynamic structure; no CVaR, copula-tail stress, recommendation-rank comparison, or optimal-face classification","Crop allocation under uncertainty and operational rotation constraints",CANONICAL_CONTEXT,"Author-submitted version in institutional repository inspected"
LIT-AGR-003,Solving crop planning and rotation problems in a sustainable agriculture perspective,"Mario Benini; Emanuele Blasi; Paolo Detti; Lorenzo Fosci",2023,Computers & Operations Research,10.1016/j.cor.2023.106316,"crop planning rotation sustainable agriculture integer linear programming","https://www.sciencedirect.com/science/article/pii/S0305054823001806",YES,2026-07-19,Crop planning,"Complexity analysis; network-flow special cases; multi-period integer programming",Italian farm data and sustainability rules,"Rotation and diversification requirements can be encoded as operational crop-allocation constraints","Expected-profit setting; no stochastic tail-risk mechanism or recommendation-ranking reversal","Operational constraint provenance and rotation architecture",CANONICAL_CONTEXT,"Open-access publisher full text inspected"
LIT-AGR-004,Robust temporal optimisation for a crop planning problem under climate change uncertainty,"Marcus Randall; James Montgomery; Andrew Lewis",2022,Operations Research Perspectives,10.1016/j.orp.2021.100219,"robust temporal crop planning climate change uncertainty","https://www.sciencedirect.com/science/article/pii/S2214716021000312",YES,2026-07-19,Crop planning,"Multi-objective temporal robust optimization across climate projections",Australian crop-allocation planning instances and climate-model scenarios,"Crop allocations can be optimized for robustness across multiple climate projections","Evolutionary robust framework differs from probability-based loss-CVaR and does not analyze ordinal ranking reversal","Alternative uncertainty treatment and robustness boundary",CANONICAL_CONTEXT,"Open-access publisher full text inspected"
LIT-AGR-005,A Systematic Review of Crop Planning Optimisation Under Climate Change,"Marcus Randall; Karin Schiller; Andrew Lewis; James Montgomery; Muhammad Shahinur Alam",2024,Water Resources Management,10.1007/s11269-024-03758-3,"systematic review crop planning optimisation climate change","https://link.springer.com/article/10.1007/s11269-024-03758-3",YES,2026-07-19,Crop planning review,"Systematic review of optimization approaches for crop planning under climate change",Published crop-planning literature,"Crop-planning optimization spans mathematical programming and metaheuristics under varied uncertainty representations","Review coverage does not establish absence of the present paper's exact mechanism; novelty remains matrix-conditional","Recent field map and search-term expansion",CANONICAL_CONTEXT,"Publisher full text inspected; no first-study claim inferred"
LIT-ML-001,Machine Learning in Agriculture: A Review,"Konstantinos G. Liakos; Patrizia Busato; Dimitrios Moshou; Simon Pearson; Dionysis Bochtis",2018,Sensors,10.3390/s18082674,"machine learning agriculture review crop prediction","https://www.mdpi.com/1424-8220/18/8/2674",YES,2026-07-19,Agricultural prediction,"Structured review of machine-learning applications in crop management livestock water and soil",Peer-reviewed agricultural ML studies,"Agricultural ML commonly predicts or classifies agronomic outcomes from sensor and environmental inputs","Review does not validate any particular crop recommendation score and does not convert predictions into constrained acreage decisions","Predictive agriculture context and prediction-prescription distinction",CANONICAL_CONTEXT,"Open publisher full text inspected"
LIT-ML-002,Crop yield prediction using machine learning: A systematic literature review,"Thomas van Klompenburg; Ayalew Kassahun; Cagatay Catal",2020,Computers and Electronics in Agriculture,10.1016/j.compag.2020.105709,"crop yield prediction machine learning systematic literature review","https://www.sciencedirect.com/science/article/pii/S0168169920302301",YES,2026-07-19,Agricultural prediction,"Systematic review of features and algorithms used for crop-yield prediction",Peer-reviewed crop-yield prediction studies,"Weather soil and remote-sensing features are repeatedly used in yield-prediction pipelines","Prediction performance is not evidence that a downstream acreage allocation is optimal or risk-feasible","Yield-prediction inputs and prediction-prescription boundary",CANONICAL_CONTEXT,"Publisher full text inspected"
